327 13156 58179
0 0     5.955828e+02 2.005725e+02
0 53     -3.375927e+02 -8.720999e+01
0 54     -1.431993e+02 -1.708453e+02
0 55     -7.073689e+02 -1.483544e+02
0 56     2.532205e+02 -1.206055e+02
0 57     2.799788e+02 -1.111039e+02
0 58     -6.034037e+02 -2.153305e+01
0 59     -4.038536e+02 -8.999399e+01
0 60     6.514510e+02 -7.211417e+01
0 61     -3.362493e+02 -5.997391e+01
0 62     -4.215036e+02 -5.696155e+01
0 63     -5.382755e+02 -4.526642e+01
0 64     2.946333e+02 -3.305835e+01
0 65     -3.237380e+02 -2.074082e+02
0 66     5.273114e+01 -2.875494e+02
0 67     -6.365320e+01 -2.788609e+02
0 68     -4.352244e+02 -2.624053e+02
0 69     3.016747e+02 -2.448713e+02
0 70     4.831138e+02 -2.358282e+02
0 71     -1.165369e+01 -2.377687e+02
0 72     -6.267999e+01 -2.370173e+02
0 73     2.339014e+02 -1.063003e+02
0 74     5.045929e+02 -1.200472e+02
0 75     -1.807891e+02 -9.733301e+01
0 76     -6.207153e+00 -1.828051e+02
0 77     -5.837258e+02 1.088046e+02
0 78     -5.291729e+02 1.109295e+02
0 79     -2.783248e+02 1.105811e+02
0 80     -7.351896e+02 1.066600e+02
0 81     5.068711e+02 1.042169e+02
0 82     -4.874185e+02 7.926968e+01
0 83     -6.450710e+02 4.714740e+01
0 84     7.094995e+02 2.343793e+01
0 85     5.167043e+02 3.039038e+01
0 86     5.506865e+02 3.077081e+01
0 87     -4.214866e+02 3.572388e+01
0 88     -6.799350e+02 4.910406e+01
0 89     3.103068e+02 5.509943e+01
0 90     5.167056e+02 6.583078e+01
0 91     2.239261e+02 1.733736e+02
0 92     7.515387e+01 2.214041e+02
0 93     3.022938e+02 1.708606e+02
0 94     5.837233e+02 -1.373733e+02
0 95     2.569176e+02 -8.497589e+00
0 96     5.514720e+02 6.828195e+01
0 97     5.231154e+02 1.530699e+02
0 98     -5.835260e+01 1.341163e+02
0 99     -7.835815e+01 1.347583e+02
0 100     -7.602517e+02 -2.008843e+02
0 101     2.819521e+02 -2.362163e+02
0 102     3.564691e+01 -2.177928e+02
0 103     -1.592711e+02 -2.075760e+02
0 104     -6.421277e+01 -1.982178e+02
0 105     -6.140065e+02 -1.992118e+02
0 106     3.680261e+01 -1.866811e+02
0 107     2.130657e+02 -1.693033e+02
0 108     -2.824713e+01 -2.848102e+02
0 109     2.457488e+02 -1.557931e+02
0 110     1.768683e+02 -2.822089e+02
0 111     -8.259143e+01 -2.695339e+02
0 112     -1.053082e+01 -2.680565e+02
0 113     6.978046e+02 8.578918e+00
0 114     5.175601e+02 -2.159314e+01
0 115     -1.823421e+02 -1.728976e+01
0 116     -2.642835e+02 -7.270752e+00
0 117     -4.327078e+02 3.712250e+00
0 118     -5.443909e+00 -3.446207e+01
0 119     5.066399e+02 8.983307e+00
0 120     4.805458e+02 9.537811e+00
0 121     4.552889e+02 1.007928e+01
0 122     4.102289e+02 9.593506e+00
0 123     4.369586e+02 1.157919e+01
0 124     3.454775e+02 1.496042e+01
0 125     5.226727e+01 1.669257e+01
0 126     -4.870813e+02 1.689682e+01
0 127     -3.835132e+02 -9.375946e+01
0 128     1.906547e+02 -1.432561e+02
0 129     6.953669e+02 -1.290759e+02
0 130     3.000389e+02 -1.282072e+02
0 131     -7.374020e+02 -1.158361e+02
0 132     -5.344770e+02 -1.150155e+02
0 133     3.000275e+02 -9.781821e+01
0 134     -7.806494e+02 -6.208447e+01
0 135     6.153530e+02 -5.609512e+01
0 136     -1.391838e+02 -4.856839e+01
0 137     6.619191e+02 -4.016727e+01
0 138     -6.961138e+02 -3.996576e+01
0 139     -7.375570e+02 -3.818442e+01
0 140     -2.482770e+02 1.991479e+02
0 141     -6.725137e+02 2.162927e+01
0 142     5.434387e+02 1.637290e+02
0 143     -2.706575e+02 1.533377e+02
0 144     7.357328e+02 7.279114e+00
0 145     -2.735531e+02 -1.863492e+01
0 146     3.780482e+02 -1.481808e+01
0 147     -3.394183e+02 -1.425516e+01
0 148     -7.062570e+02 4.979993e+01
0 149     6.836859e+02 -8.455658e+00
0 150     -3.114157e+02 -2.445312e+00
0 151     1.096478e+02 2.115784e-01
0 152     -5.277734e+02 7.917038e+01
0 153     7.113911e+02 7.185635e+01
0 154     1.571973e+02 6.048853e+01
0 155     4.117202e+02 5.488736e+01
0 156     5.166188e+02 5.396945e+01
0 157     6.625823e+02 2.561911e+01
0 158     5.149250e+02 8.226849e+01
0 159     -3.177068e+02 4.881128e+01
0 160     -1.400228e+02 4.560303e+01
0 161     -7.750323e+01 4.001703e+01
0 162     3.014758e+01 3.932486e+01
0 163     1.438841e+02 3.462744e+01
0 164     4.899192e+02 3.115256e+01
0 165     4.208722e+02 2.729053e+01
0 166     4.661610e+02 2.664963e+01
0 167     4.440596e+02 2.654071e+01
0 168     1.086975e+00 1.376938e+02
0 169     -4.516936e+02 1.356006e+02
0 170     -5.568785e+02 1.037242e+02
0 171     -5.999057e+02 9.925171e+01
0 172     -3.610751e+02 9.905334e+01
0 173     1.182885e+02 -2.444123e+02
0 174     5.567688e+00 -2.343774e+02
0 175     -6.278659e+02 -2.315201e+02
0 176     -1.162221e+02 -2.286604e+02
0 177     -5.321343e+02 -2.264031e+02
0 178     8.002625e+00 -2.189860e+02
0 179     1.059387e+02 -1.250318e+02
0 180     1.571665e+02 -1.616896e+02
0 181     -4.189575e+02 1.499716e+02
0 182     -6.441353e+02 -2.145730e+02
0 183     -2.034746e+02 -2.567489e+02
0 184     5.245990e+01 -2.120073e+02
0 185     3.389895e+02 -2.110671e+02
0 186     -2.130191e+02 -2.104075e+02
0 187     -4.152212e+02 -2.094802e+02
0 188     -4.736223e+02 -2.044205e+02
0 189     -6.884233e+02 -2.043406e+02
0 190     3.518226e+02 -1.991317e+02
0 191     7.820618e+00 -1.988509e+02
0 192     -2.985277e+02 -3.618763e+02
0 193     -3.407723e+02 -7.836902e+01
0 194     6.017539e+02 -1.968323e+02
0 195     1.005546e+02 -2.989843e+02
0 196     -1.946067e+02 -9.556461e+01
0 197     -2.383051e+02 -9.599530e+01
0 198     -1.381100e+02 -2.850839e+02
0 199     6.295251e+01 -2.763558e+02
0 200     2.225753e+02 -2.631823e+02
0 201     -4.157030e+02 -2.613226e+02
0 202     -7.787923e+02 -1.970759e+02
0 203     2.104486e+02 -8.120175e+01
0 204     -2.079000e+02 -7.203699e+01
0 205     7.056714e+01 -7.034454e+01
0 206     2.996271e+02 -6.888525e+01
0 207     2.136271e+02 -6.311362e+01
0 208     5.929081e+02 -5.759903e+01
0 209     -7.059892e+02 -8.911734e+01
0 210     -9.733429e+01 -5.875949e+01
0 211     7.106752e+02 -5.370624e+01
0 212     6.795132e+02 -5.365765e+01
0 213     -2.023909e+02 -5.382962e+01
0 214     -5.123419e+01 -2.389725e+01
0 215     -7.818815e+02 -2.147961e+01
0 216     3.778873e+02 -9.697061e+01
0 217     5.233826e+01 -1.945225e+02
0 218     3.721285e+02 -1.903734e+02
0 219     -4.691347e+02 -1.887476e+02
0 220     -1.989357e+02 -1.870090e+02
0 221     2.590564e+01 -1.687283e+02
0 222     -6.353394e+01 -1.498806e+02
0 223     -2.296226e+02 -1.509717e+02
0 224     -3.038275e+02 -1.492027e+02
0 225     -2.418553e+02 -1.457013e+02
0 226     -4.677438e+02 -1.448021e+02
0 95     2.532321e+02 -7.578827e+00
0 227     5.402913e+02 -1.330280e+02
0 228     -5.477943e+02 -1.284312e+02
0 229     -6.323822e+01 -1.255703e+02
0 230     5.319513e+01 -1.234818e+02
0 231     3.132593e+02 -1.159319e+02
0 232     -6.153247e+01 -1.023003e+02
0 233     -5.387056e+02 -9.360922e+01
0 234     -3.500873e+02 -8.547211e+00
1 235     -8.958047e+01 1.331082e+02
1 236     2.200764e+02 3.211364e+02
1 237     -4.179517e+01 3.169727e+01
1 238     -5.292487e+01 2.490492e+02
1 239     5.997083e+01 -5.613666e+01
1 240     -2.406014e+02 1.499821e+02
1 241     2.323371e+02 2.748465e+02
1 242     1.247579e+02 2.607654e+02
1 243     1.067260e+02 2.262400e+02
1 244     -1.077052e+02 2.134738e+02
1 245     -1.457521e+02 1.694339e+02
1 246     -4.201588e+02 1.618072e+02
1 247     -2.412146e+01 -5.116724e+01
1 248     1.273739e+02 1.485678e+02
1 249     -1.004800e+02 2.701607e+02
1 250     -2.692096e+02 1.290282e+02
1 251     8.731427e+01 1.455361e+02
1 122     -1.193077e+02 1.195019e+02
1 252     1.537380e+02 1.458517e+02
1 253     -3.772285e+02 1.306457e+02
1 254     1.863873e+02 -3.013556e+01
1 255     3.152244e+02 1.470856e+02
1 256     3.745044e+01 1.490997e+02
1 257     3.475273e+02 1.564964e+02
1 258     -1.408260e+02 1.759902e+02
1 259     8.764911e+01 1.841360e+02
1 260     -2.891040e+01 1.954003e+02
1 261     6.069189e+01 2.097892e+02
1 262     6.118060e+01 2.336861e+02
1 263     1.199622e+01 2.369132e+02
1 264     -2.176416e+02 2.579109e+02
1 265     2.600919e+02 2.609976e+02
1 266     8.544373e+00 2.623918e+02
1 267     1.483315e+02 2.839001e+02
1 124     -2.229741e+02 1.251778e+02
1 268     5.494852e+02 2.285284e+01
1 269     -2.989117e+02 8.046756e+01
1 270     -5.227954e+01 1.016327e+02
1 119     7.228241e+01 1.196055e+02
1 271     4.526544e+01 1.199695e+02
1 272     6.137451e+00 1.202573e+02
1 121     -3.209412e+01 1.212597e+02
1 123     -6.835297e+01 1.226309e+02
1 273     1.570615e+02 1.841867e+02
1 274     4.911418e+02 1.139250e+02
1 275     5.740796e+01 1.561002e+02
1 276     1.673523e+01 1.565359e+02
1 277     5.905554e+02 1.538992e+02
1 278     1.242837e+02 1.724392e+02
1 279     -2.468859e+02 1.738696e+02
1 280     -1.046777e+02 1.837069e+02
1 281     2.607745e+02 1.865593e+02
1 282     2.502684e+02 1.484989e+02
1 283     3.751440e+01 2.366371e+02
1 284     8.576050e+01 2.397172e+02
1 285     2.697263e+02 2.834577e+02
1 286     4.842838e+02 1.589733e+02
1 287     5.569648e+02 1.647128e+02
1 288     -1.908447e+02 -1.200803e+02
1 289     4.034657e+02 -9.137225e+01
1 290     -3.713104e+01 -7.240979e+01
1 291     2.096810e+02 -3.910611e+01
1 292     -1.016628e+02 -3.783508e+01
1 293     4.647188e+02 -2.701639e+01
1 294     1.575387e+02 1.237749e+02
1 295     -1.855972e+02 1.031923e+02
1 296     6.075073e+01 1.021263e+02
1 297     2.478439e+02 1.003841e+02
1 298     -9.841367e+01 7.972794e+01
1 299     -2.243315e+02 1.061204e+02
1 300     -2.289563e+02 1.480642e+02
1 301     3.896053e+02 1.443636e+02
1 302     -3.507343e+02 1.302014e+02
1 303     -9.710556e+01 1.279532e+02
1 304     2.026258e+02 2.784923e+02
1 305     -1.854431e+02 1.179449e+02
1 306     -3.054208e+02 1.081424e+02
1 307     -2.895580e+02 1.079424e+02
1 308     1.759546e+01 2.595872e+02
1 309     3.346259e+01 2.543304e+02
1 310     1.406788e+02 1.665709e+02
1 311     1.235657e+02 2.133655e+02
1 312     -1.408997e+00 1.932355e+02
1 313     2.969501e+02 -2.383633e+01
1 314     4.803372e+02 -2.638519e+01
1 315     -5.494337e+02 -3.914603e+01
1 316     -1.619732e+02 -5.438739e+01
1 317     -1.141976e+02 -6.114645e+01
1 318     -1.900013e+02 -6.895227e+01
1 319     3.469359e+02 -1.179427e+02
1 320     -1.774024e+02 -7.702722e+01
1 321     1.085388e+01 1.033015e+02
1 322     1.893364e+02 9.982327e+01
1 323     9.868988e+01 7.616629e+01
1 324     1.897806e+02 7.362982e+01
1 325     -8.008301e+01 1.030262e+02
1 326     -5.914606e+01 -2.134238e+01
1 327     4.790405e+00 2.785954e+02
1 328     -1.227818e+02 2.265626e+02
1 329     -3.091939e+02 1.363247e+02
1 330     -8.562756e+01 1.825685e+02
1 331     -2.052771e+01 1.483274e+02
1 332     2.284217e+02 1.588332e+02
1 333     3.410328e+02 1.617957e+02
1 334     7.238892e+01 1.782910e+02
1 335     -5.709801e+02 1.802000e+02
1 336     3.418465e+02 1.015356e+02
1 337     -1.833399e+02 1.315834e+02
1 338     -2.431695e+02 1.283483e+02
1 339     3.424993e+02 1.248458e+02
1 340     -4.284174e+02 1.212429e+02
1 341     -2.160814e+02 1.153393e+02
1 342     4.021890e+02 1.140254e+02
1 343     -4.931855e+02 1.108777e+02
1 344     -2.033619e+02 1.076580e+02
1 345     -3.910728e+02 1.021077e+02
1 346     6.967523e+01 1.032346e+02
1 347     -1.125210e+02 1.009665e+02
1 348     -2.305383e+02 2.705359e+02
1 349     -5.702736e+02 3.035559e+02
1 350     1.469988e+02 2.960544e+02
1 351     1.466578e+02 2.716872e+02
1 352     1.414480e+02 2.517783e+02
1 353     3.589572e+02 2.404881e+02
1 354     -5.691977e+02 2.129842e+02
1 355     2.269171e+01 1.965820e+02
1 356     9.531567e+01 1.976301e+02
1 357     1.210751e+02 1.960896e+02
1 358     -2.122168e+01 1.950878e+02
1 359     -1.335789e+02 1.919878e+02
1 360     2.510272e+02 -1.215748e+02
1 361     -4.265249e+02 -3.102991e+01
1 362     3.018968e+02 -6.614539e+01
1 363     -2.033296e+02 -7.235822e+01
1 364     -2.326489e+01 -7.980151e+01
1 365     1.831345e+02 -8.659192e+01
1 366     2.724288e+02 -9.505627e+01
1 367     2.550415e+02 -9.897516e+01
1 368     -3.252466e+01 -1.034628e+02
1 369     1.509739e+02 9.373926e+01
1 370     -8.754639e+01 -1.475679e+02
1 371     -4.402966e+02 -1.126816e+01
1 372     2.388884e+02 3.723804e+01
1 373     -3.375509e+02 3.436893e+01
1 374     4.471168e+02 2.891098e+01
1 375     2.809748e+02 -5.795105e+00
1 376     4.133854e+02 3.936768e-03
1 377     8.940985e+01 1.349756e+01
1 378     -2.410597e+02 1.416937e+01
1 379     -5.564146e+02 2.620525e+02
1 380     3.326736e+02 1.538589e+02
1 381     2.352821e+02 2.567463e+02
1 382     -3.402977e+02 1.188734e+02
1 383     -4.630423e+02 1.316822e+02
1 384     3.049639e+02 1.349794e+02
1 385     3.051984e+02 1.461967e+02
1 386     -9.369574e+01 1.489056e+02
1 387     -1.174992e+02 1.566277e+02
1 388     -3.044429e+02 1.175891e+02
1 389     3.484634e+02 7.376080e+01
1 390     -1.711430e+02 1.833394e+02
1 391     1.606448e+02 9.953741e+01
1 392     -2.658086e+02 7.644104e+01
1 393     2.657691e+02 8.690436e+01
1 394     2.374373e+02 8.833060e+01
1 395     -1.726313e+02 9.230212e+01
1 396     -2.665684e+02 9.752826e+01
1 397     -2.333195e+02 1.171812e+02
1 398     -3.162006e+02 1.031210e+02
1 399     -3.159833e+01 7.400345e+01
1 400     -1.575927e+02 1.034248e+02
1 401     -2.757369e+02 1.030242e+02
1 402     -2.675485e+02 1.093194e+02
1 403     -2.812562e+02 1.107308e+02
1 404     -2.444009e+02 1.113299e+02
1 405     -3.977351e+02 1.124491e+02
1 406     -4.177529e+02 1.120915e+02
1 407     3.537311e+02 1.150105e+02
1 408     2.735414e+02 2.884198e+02
1 409     -1.229316e+02 2.531716e+02
1 410     -1.262277e+02 2.617531e+02
1 411     1.084490e+02 2.727497e+02
1 412     2.726991e+02 2.740585e+02
1 413     -5.577592e+02 2.764241e+02
1 414     -1.194141e+02 2.790640e+02
1 415     3.020961e+02 2.520829e+02
1 416     2.397271e+02 2.910487e+02
1 417     -3.206582e+02 -4.180035e+01
1 418     2.000338e+02 3.712912e+01
1 419     2.429151e+02 1.881133e+02
1 420     5.310834e+01 2.202050e+02
1 421     -3.639294e+01 1.927040e+02
1 422     -1.240418e+02 1.960956e+02
1 423     1.372228e+02 2.023332e+02
1 424     2.362474e+02 2.054744e+02
1 425     -1.098627e+01 2.052681e+02
1 426     8.906976e+01 2.188277e+02
1 427     7.159827e+01 2.188831e+02
1 428     3.322568e+02 1.924431e+02
1 429     2.346064e+02 2.266450e+02
1 430     2.294153e+01 2.298988e+02
1 431     3.809865e+02 2.381418e+02
1 432     2.343464e+02 2.390021e+02
1 433     4.792114e+00 2.485374e+02
1 434     1.580928e+02 2.496285e+02
1 435     8.866656e+01 2.519115e+02
1 436     -2.306012e+01 -7.689624e+01
1 437     -1.498127e+02 -8.157349e+01
1 438     2.547467e+01 -8.014166e+01
1 439     4.190246e+02 -6.130997e+01
1 440     2.906899e+02 -5.149313e+01
1 441     4.165915e+02 -3.809064e+01
1 442     2.829223e+02 -2.987274e+01
1 443     1.741785e+01 -2.936642e+01
1 444     4.930425e+02 4.442892e+01
1 445     -2.629660e+02 2.996701e+01
1 446     -2.981618e+02 2.989905e+01
1 447     -2.555539e+02 3.697278e+01
1 448     -2.034010e+02 5.323602e+01
1 449     -2.704112e+02 5.480060e+01
1 450     1.617197e+02 -1.094925e+01
1 451     4.800784e+02 -7.565704e+00
1 452     4.586749e+02 2.034302e+00
1 453     -2.472039e+02 5.139832e+00
1 454     4.479988e+02 6.063263e+00
1 455     2.196350e+02 8.536377e+00
1 456     5.040970e+02 1.194156e+01
1 457     -9.411917e+01 1.612781e+01
1 458     9.853485e+01 2.014984e+01
1 459     -2.509639e+02 2.221280e+01
1 460     1.019324e+01 2.791428e+01
1 461     2.409572e+02 2.741276e+02
2 462     -4.672754e+01 -3.156415e+01
2 463     -4.682001e+01 9.757678e+01
2 464     7.196844e+01 4.910162e+01
2 465     -7.858807e+01 -2.379761e+00
2 466     5.503906e+00 -2.707169e+02
2 467     -1.122627e+02 -6.635901e+01
2 468     -1.108688e+02 -3.179254e+01
2 469     3.062219e+01 -4.903381e+00
2 470     -9.883792e+01 7.727417e+00
2 471     -1.661519e+02 6.489136e+01
2 472     -2.502913e+02 7.062799e+01
2 473     -3.491797e+01 -3.031824e+02
2 474     -2.782727e+02 -3.505895e+02
2 475     -2.854462e+01 -3.622985e+02
2 476     -2.856521e+02 -5.378710e+02
2 477     3.706824e+01 -1.545780e+02
2 478     3.927191e+01 -1.158027e+02
2 479     3.633057e+01 -3.020233e+01
2 480     -1.596410e+02 1.799228e+02
2 481     -3.466103e+02 -3.239362e+02
2 482     4.091333e+01 -5.223004e+02
2 483     9.139862e+01 -1.385524e+02
2 484     1.679254e+01 -2.923749e+01
2 485     1.931740e+02 -3.135040e+01
2 486     1.462115e+01 1.079907e+01
2 487     -4.339594e+01 3.147552e+01
2 488     -2.619432e+02 2.805750e+01
2 489     -1.489297e+02 2.007190e+01
2 490     -5.680048e+01 1.692590e+01
2 491     -9.871802e+01 1.637781e+01
2 492     -7.124054e+01 -2.064947e+02
2 493     -1.008844e+02 -3.942280e+02
2 494     3.082256e+02 -2.106082e+02
2 495     -9.051474e+01 -4.878931e+01
2 496     -1.321994e+02 -4.862744e+01
2 497     -1.093906e+02 -9.259528e+01
2 498     9.520593e+01 -1.609280e+02
2 499     -8.655981e+01 -3.846113e+02
2 500     -1.133394e+02 -4.090809e+02
2 501     -1.429916e+02 -4.146472e+02
2 502     -1.197603e+02 -7.963983e+01
2 503     -2.964973e+02 -1.870361e+00
2 504     5.538977e+01 -2.051612e+02
2 505     3.682355e+01 8.882965e+01
2 506     -1.208146e+02 1.203062e+02
2 507     -8.770337e+01 -1.908394e+02
2 508     -1.205440e+02 -4.011890e+01
2 509     -1.040543e+02 -5.884161e+01
2 510     -8.918121e+01 -2.352753e+01
2 511     -8.520630e+01 -2.501656e+02
2 512     -3.615857e+01 -3.590924e+02
2 513     -3.018910e+02 -3.597079e+02
2 514     -3.118847e+02 -3.710988e+02
2 515     -2.563647e+01 -3.811135e+02
2 516     2.440656e+01 -3.882595e+02
2 517     1.515155e+01 -3.999335e+02
2 518     -2.443841e+02 -4.070089e+02
2 519     2.696624e+02 -2.153540e+01
2 520     -1.211743e+02 -5.805554e+01
3 521     -4.203845e+01 2.577106e+02
3 522     -3.092488e+02 -2.551154e+01
3 523     -6.673210e+02 4.564905e+02
3 524     -6.037451e+02 -7.215277e+01
3 525     -6.794088e+02 3.533841e+02
3 526     3.910797e+01 1.848528e+02
3 527     -7.341262e+02 1.514596e+02
3 528     -1.281235e+02 1.439145e+02
3 529     -1.889136e+01 1.288120e+02
3 530     -4.368701e+02 1.155120e+02
3 531     8.197266e+00 5.320099e+01
3 532     -9.663483e+01 5.127802e+01
3 533     -4.280518e+00 -1.020828e+02
3 534     -7.010063e+02 2.174403e+02
3 535     -2.221652e+02 -1.331318e+02
3 536     1.427549e+02 1.674054e+02
3 537     -3.323379e+02 5.035913e+01
3 42     -5.569503e+02 3.684474e+02
3 37     -3.824867e+02 2.418372e+02
3 31     -6.369165e+01 1.724358e+02
3 538     -4.709528e+02 -1.761206e+01
3 539     -3.125878e+02 -1.534716e+02
3 540     -2.278798e+02 -1.147052e+01
3 541     4.884003e+02 4.979443e+01
3 542     -1.844337e+02 5.743079e+01
3 543     7.044281e+01 7.843195e+01
3 34     -3.842157e+02 7.767755e+01
3 544     -4.650594e+02 4.197541e+02
3 545     -1.893116e+02 1.498332e+02
3 546     -6.017165e+02 -1.003461e+01
3 547     2.044080e+02 1.657503e+02
3 548     -1.305902e+02 1.926300e+02
3 549     -2.152759e+02 2.836240e+02
3 550     -4.160120e+02 3.857028e+02
3 551     -5.412539e+02 -1.318772e+02
3 552     -6.122968e+01 -9.640253e+01
3 553     -2.989194e+02 -9.140900e+01
3 554     -2.687213e+01 -8.517175e+01
3 555     9.270953e+01 1.520750e+02
3 556     1.265652e+02 1.507210e+02
3 557     -2.171622e+02 1.396346e+02
3 558     -1.617870e+02 1.246939e+02
3 123     -6.140110e+02 1.109260e+02
3 559     -5.041249e+02 1.061782e+02
3 560     -6.896655e+02 9.222192e+01
3 561     -1.285529e+02 5.452856e+01
3 562     -3.253387e+02 3.963177e+01
3 563     -5.160861e+02 3.613892e+01
3 564     -4.015603e+02 -8.397217e+00
3 565     -3.562543e+01 -1.364703e+01
3 566     -6.550264e+02 1.760767e+02
3 567     6.279462e+02 1.803973e+02
3 568     -4.771398e+02 1.814528e+02
3 81     -4.874682e+02 2.368177e+02
3 569     -2.758276e+02 2.531622e+02
3 24     -5.765943e+02 2.683308e+02
3 570     -5.254508e+02 2.720550e+02
3 97     -4.427385e+02 2.987677e+02
3 571     -5.277127e+02 3.892421e+02
3 572     -5.770290e+02 4.065913e+02
3 573     -7.599582e+02 -2.478282e+02
3 574     -5.287905e+02 -2.150804e+02
3 575     -3.904584e+02 -1.670729e+02
3 576     2.024640e+01 -1.169294e+02
3 577     -3.878225e+02 -1.150369e+02
3 578     -2.826300e+02 3.693890e+01
3 122     -6.638470e+02 1.092089e+02
3 579     -3.351274e+02 3.136680e+02
3 580     7.156964e+01 -6.386792e+01
3 581     -3.966031e+02 1.534167e+01
3 582     -2.452955e+02 1.611737e+01
3 212     -3.001568e+02 1.640961e+01
3 583     -3.462158e+02 1.584955e+01
3 584     -3.697874e+02 1.399078e+01
3 146     -7.143831e+02 7.339789e+01
3 585     -4.205702e+02 1.517682e+01
3 586     -5.436977e+02 4.534393e+01
3 587     -6.431010e+02 6.387622e+01
3 120     -5.416381e+02 1.072789e+02
3 588     -4.960710e+02 1.318866e+01
3 589     -4.672799e+02 1.293970e+01
3 590     4.438147e+01 -2.510071e+00
3 591     8.947894e+01 -2.383301e+00
3 592     -6.473923e+02 -5.684143e+00
3 593     -9.769092e+01 -4.794006e+00
3 594     1.114855e+02 -4.340088e+00
3 595     -4.518604e+02 -7.662170e+00
3 596     -5.270392e+02 1.743385e+02
3 597     -3.948446e+02 4.045191e+02
3 598     -4.516852e+02 3.431782e+02
3 599     -2.583956e+02 3.050734e+02
3 600     -2.378658e+02 2.639318e+02
3 601     -6.831869e+02 1.786368e+02
3 602     -5.454556e+02 1.494938e+02
3 603     -6.673956e+01 1.438106e+02
3 604     1.540526e+02 1.382962e+02
3 605     -5.252411e+02 1.322737e+02
3 606     -5.623229e+02 1.266971e+02
3 607     3.696465e+02 1.183962e+02
3 121     -5.797330e+02 1.080952e+02
3 608     -4.805472e+02 -1.834085e+02
3 609     -5.725168e+02 -1.983334e+02
3 610     6.723956e+01 -8.403381e+00
3 611     -3.686573e+02 -8.461975e+00
3 612     -6.983853e+02 -1.668964e+01
3 613     -4.265637e+02 -1.899933e+01
3 614     -2.317816e+01 -3.812109e+01
3 615     -2.846440e+02 -5.674969e+01
3 616     -5.666058e+01 -5.926758e+01
3 617     9.610596e-01 -7.052740e+01
3 618     -3.475017e+02 -8.194916e+01
3 619     -3.683896e+02 -9.240808e+01
3 620     -2.526562e+01 -1.238907e+02
3 621     1.813519e+01 -1.396852e+02
3 622     -6.539062e+00 -3.728821e+00
3 623     -4.792481e+02 -1.558013e+02
3 624     -9.082928e+01 -1.553764e+02
3 625     -1.923843e+02 -1.727125e+02
3 626     -5.740213e+02 -1.768592e+02
3 627     -3.930208e+02 1.405703e+02
3 628     -7.797671e+02 1.106801e+02
3 629     -4.085815e+02 1.763955e+02
3 630     1.899384e+02 2.771545e+00
3 631     3.076018e+02 3.654321e+01
3 632     2.095847e+02 4.202881e-01
3 633     -8.218567e+00 1.098586e+02
3 634     -7.040546e+02 1.076131e+02
3 635     -1.486719e+02 9.738763e+01
3 636     -1.318403e+02 9.753836e+01
3 144     -1.159779e+02 9.710703e+01
3 637     2.863918e+02 9.752332e+01
3 638     -5.616816e+02 8.785626e+01
3 639     7.885059e+01 8.679626e+01
3 640     -6.750570e+02 6.832275e+01
3 641     -4.794142e+02 3.030524e+01
3 642     1.712316e+02 6.859131e-01
3 643     -7.871520e+02 1.409094e+01
