166 3643 39651
0 0     -5.730977e+02 3.442212e+02
1 255     -9.285535e+01 3.164523e+02
1 256     -1.369983e+01 3.295951e+02
1 257     -2.950763e+01 3.311054e+02
1 258     3.062384e+01 3.479067e+02
1 117     -3.027815e+02 3.556543e+02
1 259     -4.487689e+01 3.586479e+02
1 260     -8.699304e+01 3.629208e+02
1 261     6.221903e+02 3.672755e+02
1 262     -2.768809e+02 3.708381e+02
1 263     7.282196e+02 3.821806e+02
1 264     -4.548273e+01 -1.461206e+01
1 265     -7.499878e+01 5.192041e+01
1 266     -4.803809e+01 4.055457e+01
1 267     -4.314307e+01 -7.906818e+01
1 268     7.390486e+02 -7.495245e+01
1 269     7.216089e+02 -6.042169e+01
1 270     -6.408009e+02 -5.896185e+01
1 271     3.846625e+02 -5.109381e+01
1 272     7.101133e+02 -4.875916e+01
1 273     1.456909e+02 -4.525867e+01
1 274     3.725072e+02 -2.634760e+01
1 275     -1.050148e+02 -1.676709e+01
1 276     -6.529437e+02 -1.580420e+01
1 277     3.844850e+02 -1.382178e+01
1 278     -2.986273e+01 1.040807e+02
1 279     -3.194328e+02 -1.056677e+01
1 280     -4.144588e+02 -1.136121e+01
1 281     -6.113567e+02 -9.388916e+00
1 282     -7.341222e+02 -5.445557e-01
1 283     -8.786835e+01 1.557452e+01
1 284     -5.958547e+02 2.121783e+01
1 285     4.192709e+02 2.816611e+01
1 286     -7.824106e+02 3.087827e+01
1 287     5.384557e+02 7.825067e+01
1 288     -1.855826e+02 7.960110e+01
1 289     -6.669833e+02 8.246039e+01
1 290     -7.938788e+01 8.627066e+01
1 291     -1.528813e+02 3.311695e+02
1 292     -3.126483e+01 3.958421e+02
1 293     -3.526077e+02 8.882553e+01
1 294     -1.677156e+02 -3.389136e+01
1 295     -1.495953e+02 2.707095e+02
1 296     -6.323281e+02 9.223572e+00
1 297     -6.320199e+02 2.206711e+01
1 298     6.892292e+02 4.536477e+02
1 299     5.884054e+02 4.030999e+02
1 300     -1.959290e+01 4.040208e+02
1 301     -2.993105e+02 4.221217e+02
1 302     -3.160710e+02 4.226384e+02
1 303     6.678491e+02 4.531971e+02
1 304     7.716909e+02 4.544917e+02
1 305     -4.257860e+02 5.213645e+02
1 306     -1.141360e+02 3.461105e+02
1 307     -1.039488e+02 3.492122e+02
1 308     -6.754614e+01 3.456574e+02
1 309     -1.313565e+02 3.514807e+02
1 310     -4.871466e+01 3.466031e+02
1 311     -2.872089e+01 3.464786e+02
1 312     4.134827e+02 3.357242e+02
1 313     -2.468636e+02 1.477791e+02
1 314     -1.423136e+02 3.326083e+02
1 315     -2.134911e+02 3.216475e+02
1 316     -3.064648e+01 3.154864e+02
1 317     5.916715e+02 2.916415e+02
1 318     -2.620147e+02 2.669957e+02
1 319     -2.434186e+02 2.596430e+02
1 320     1.869135e+01 2.039602e+02
1 321     -1.157554e+02 1.849546e+02
1 322     -2.890588e+01 3.958861e+02
1 323     6.040931e+02 3.949329e+02
1 324     1.748518e+02 5.130979e+02
1 325     1.363454e+02 5.074460e+02
1 326     6.199878e+02 4.530014e+02
1 327     6.010380e+02 4.521657e+02
1 328     5.376141e+01 4.330813e+02
1 329     5.851077e+02 4.236204e+02
1 330     6.483981e+02 4.177426e+02
1 331     6.000165e+02 4.158079e+02
1 332     7.655236e+02 4.163087e+02
1 333     -2.919814e+02 4.106122e+02
1 334     -2.995972e+00 4.045723e+02
1 335     -1.890588e+01 3.580435e+02
1 336     6.422426e+02 3.884936e+02
1 337     -2.907536e+02 3.812130e+02
1 338     -4.773474e+01 3.815233e+02
1 339     -1.669480e+02 3.733751e+02
1 340     -1.559696e+02 3.739681e+02
1 341     -2.154544e+02 3.675439e+02
1 342     2.762543e+01 3.676780e+02
1 343     -2.459229e+02 3.635002e+02
1 344     -3.496735e+01 3.636605e+02
1 345     -1.177769e+02 3.615283e+02
1 346     -6.356754e+02 -1.960272e+01
1 347     -5.728584e+02 2.245126e+01
1 348     -6.823284e+02 2.240689e+01
1 349     -6.272607e+01 -3.713867e+00
1 350     -7.528220e+02 -8.593994e+00
1 351     -3.874680e+02 -1.113812e+01
1 352     -2.555931e+02 -1.026184e+01
1 353     -2.601416e+01 -1.312384e+01
1 354     -7.359463e+02 -1.569324e+01
1 355     -6.666647e+02 -1.685962e+01
1 356     -1.093906e+02 1.431755e+02
1 357     -1.999310e+02 1.441060e+02
1 358     -6.008369e+02 -2.037561e+01
1 359     -5.649828e+02 -2.082770e+01
1 360     -5.311169e+01 -2.499042e+01
1 361     -1.230146e+02 -3.697699e+01
1 362     -3.112506e+01 -3.645618e+01
1 363     6.978414e+02 -5.244189e+01
1 364     4.144772e+02 -5.926459e+01
1 365     2.319761e+02 -9.243524e+01
1 366     3.811521e+02 -1.010351e+02
1 367     -3.267520e+02 8.165814e+01
1 368     -8.288757e+01 1.140317e+02
1 369     -1.963776e+02 9.079813e+01
1 370     4.343909e+01 -4.077319e+01
1 371     -2.724225e+01 1.223901e+02
1 372     -7.280954e+02 8.205392e+01
1 373     -1.549332e+02 1.328891e+02
1 374     -7.213942e+02 6.832706e+01
1 375     -4.242594e+02 4.373151e+01
1 376     -4.133650e+02 4.132562e+01
1 377     -9.714038e+01 4.125766e+01
1 378     -6.452149e+02 3.917395e+01
1 379     -7.398648e+02 3.580447e+01
1 380     -3.535034e+00 2.289698e+02
1 381     -2.886981e+02 2.415070e+02
1 382     -6.339709e+01 2.405559e+02
1 383     -2.594341e+02 2.823527e+02
1 384     6.297977e+02 4.063725e+02
1 385     -3.492714e+02 2.922384e+02
1 386     -1.607397e+01 3.388722e+02
1 387     3.946783e+02 -6.012817e+01
1 388     -6.597720e+02 7.622681e+00
1 389     -5.767175e+01 3.513079e+02
1 390     7.359232e+02 3.403577e+02
1 391     -1.542921e+02 3.475824e+02
1 392     -1.401298e+02 3.472029e+02
1 393     -2.142004e+01 3.472699e+02
1 394     -9.472900e+01 3.461382e+02
1 395     -7.836081e+02 3.445612e+02
1 396     7.266907e+00 3.438189e+02
1 397     -1.622080e+02 3.403225e+02
1 398     -5.972110e+02 3.532180e+02
1 399     -7.909347e+02 3.558628e+02
1 400     -7.048395e+01 3.568703e+02
1 401     -2.760254e+00 3.574415e+02
1 402     -1.840358e+02 3.590676e+02
1 403     -7.968793e+01 3.619856e+02
1 404     -1.071542e+02 3.627738e+02
1 405     -1.278777e+02 3.621861e+02
1 406     -1.440420e+02 3.622870e+02
1 407     -2.571618e+02 3.618295e+02
1 408     4.465515e+00 3.642759e+02
1 409     -3.029376e+01 3.051662e+02
1 410     -2.269421e+02 3.081676e+02
1 411     1.192725e+01 3.094390e+02
1 412     -1.935119e+02 3.097693e+02
1 413     -2.187811e+01 3.141816e+02
1 414     -8.441693e+01 3.150055e+02
1 415     -1.407790e+02 3.153520e+02
1 416     -1.550693e+02 3.153638e+02
1 417     -4.086432e+01 3.191109e+02
1 418     7.528083e+02 3.405518e+02
1 419     -8.724744e+01 3.247930e+02
1 420     -1.753855e+02 3.257480e+02
1 421     -3.062801e+02 3.255839e+02
1 422     -2.415512e+02 3.299501e+02
1 423     3.855627e+02 3.359412e+02
1 424     3.614221e+02 3.360501e+02
1 425     -1.741959e+02 3.365826e+02
1 426     -1.991913e+02 3.362256e+02
1 427     5.420822e+02 3.382323e+02
1 428     7.712430e+02 3.404050e+02
1 429     -2.329218e+01 6.125229e+01
1 430     5.773428e+02 4.083975e+02
1 431     2.261060e+01 4.083153e+02
1 432     -3.087473e+02 4.139596e+02
1 433     7.442476e+02 4.171522e+02
1 434     6.528680e+02 4.442208e+02
1 435     -4.395382e+02 5.039416e+02
1 325     1.372191e+02 5.096895e+02
1 436     1.327447e+02 -1.193268e+01
1 437     -6.732941e+02 2.433673e+01
1 438     7.557311e+02 4.074876e+02
1 439     -1.595051e+02 7.040073e+01
1 440     -7.367970e+02 7.880283e+01
1 441     5.799180e+02 1.110067e+02
1 442     -1.376172e+02 1.263087e+02
1 443     -1.942093e+02 1.313412e+02
1 444     7.690890e+02 2.945664e+02
1 445     -4.408647e+02 3.039973e+02
1 446     -4.343040e+02 3.104379e+02
1 447     -7.839812e+02 3.716383e+02
1 448     5.870804e+02 4.687245e+02
1 449     -1.221254e+02 3.940402e+02
1 450     -6.621515e+01 3.656597e+02
1 451     1.333228e+01 3.665221e+02
1 452     -2.651815e+02 3.676576e+02
1 453     -8.245514e+01 3.717017e+02
1 454     6.507263e+02 3.787712e+02
1 455     -2.316411e+02 3.796063e+02
1 456     -2.654560e+02 3.804211e+02
1 457     -1.841934e+02 3.813961e+02
1 458     7.166884e+02 3.908257e+02
1 459     -5.306915e+01 3.926260e+02
1 460     -2.577728e+01 3.649568e+02
1 461     -1.363010e+02 3.938626e+02
1 462     -1.508254e+02 3.931838e+02
1 463     -9.100452e+01 3.940349e+02
1 464     -1.074387e+02 3.940300e+02
1 465     -9.779114e+00 3.963804e+02
1 466     7.256547e+02 3.989419e+02
1 467     6.544088e+02 3.988760e+02
1 468     7.057216e+02 3.990967e+02
1 469     6.478125e+02 4.062226e+02
1 470     -1.276100e+02 2.016904e+01
1 471     -3.218495e+02 2.122009e+00
1 472     -3.419617e+02 2.920532e+00
1 473     -2.097726e+02 3.622681e+00
1 474     -3.026847e+02 6.730347e+00
1 475     -7.412133e+02 7.452881e+00
1 476     -7.210840e+02 9.378479e+00
1 477     -6.701101e+02 9.105042e+00
1 478     -1.247465e+02 1.209467e+01
1 479     -3.381824e+02 1.785693e+01
1 480     -7.750710e+02 2.099960e+01
1 481     -2.251008e+02 2.595834e+01
1 482     6.144745e+01 3.069971e+01
1 483     -8.092133e+01 3.193210e+01
1 484     -6.336739e+02 4.051639e+01
1 485     -3.405286e+01 -2.254608e+01
1 486     5.717697e+02 -1.085896e+02
1 487     4.323392e+02 -1.008047e+02
1 488     7.380020e+02 -6.050574e+01
1 489     7.430664e+02 -5.348132e+01
1 490     -4.976379e+01 -3.780066e+01
1 491     3.292435e+02 -3.212659e+01
1 492     -2.796249e+02 -2.546057e+01
1 493     -2.000385e+01 -2.259125e+01
1 494     -2.804364e+01 4.500986e+01
1 495     -6.987662e+02 -2.110724e+01
1 496     -7.106754e+02 -1.490887e+01
1 497     -1.458411e+01 -1.467798e+01
1 498     -2.676627e+02 -8.276550e+00
1 499     -1.079265e+02 -6.937988e+00
1 500     -1.719708e+01 -5.997925e+00
1 501     -7.682983e+02 -5.788452e+00
1 502     -3.902704e+02 -2.743164e+00
1 503     -7.433368e+01 2.227615e+02
1 504     -7.842537e+02 1.164357e+02
1 505     -9.190045e+01 1.173371e+02
1 506     -2.305566e+02 1.256182e+02
1 507     -9.812781e+01 1.379462e+02
1 508     -2.386926e+01 1.392455e+02
1 509     -1.276222e+02 1.391807e+02
1 510     -2.457255e+02 1.650648e+02
1 247     2.797485e+01 1.935458e+02
1 320     2.114496e+01 2.027200e+02
1 511     -6.623155e+02 1.123112e+02
1 512     -1.950562e+01 2.295400e+02
1 513     -1.274357e+02 2.330440e+02
1 514     2.088361e+01 2.368921e+02
1 515     1.129150e+00 2.372951e+02
1 516     -1.223679e+02 2.711344e+02
1 517     3.006238e+01 2.719342e+02
1 518     2.127386e+01 2.762590e+02
1 519     -4.004675e+01 2.852422e+02
1 520     7.518640e+02 2.950348e+02
1 521     -3.824902e+01 2.960489e+02
1 522     -3.353721e+02 7.653882e+01
1 523     -7.100432e+02 4.501389e+01
1 524     -3.921417e+01 4.687457e+01
1 525     -7.248347e+02 4.610938e+01
1 526     -1.987804e+02 4.857257e+01
1 527     -2.655460e+02 4.802109e+01
1 528     -3.754822e+00 5.065451e+01
1 529     -7.283354e+02 5.505511e+01
1 530     -2.268787e+01 7.092020e+01
1 531     -2.125292e+02 3.031314e+02
1 532     -7.583447e+02 7.716827e+01
1 533     5.295565e+02 8.036490e+01
1 534     -7.079101e+02 8.204849e+01
1 535     -1.150540e+02 8.209177e+01
1 536     -6.205892e+02 1.005119e+02
1 537     -1.736049e+02 1.015848e+02
1 538     -7.232535e+02 1.107563e+02
1 539     1.070905e+01 2.943941e+02
2 540     -2.206884e+02 2.346210e+02
2 541     -3.339826e+02 4.160582e+02
2 542     -4.109444e+02 1.933933e+02
2 543     -4.644347e+02 4.872667e+02
2 3     -2.336140e+02 3.406355e+02
2 2     -3.281485e+02 3.187245e+02
2 0     -5.030456e+02 2.758857e+02
2 1     -2.198554e+02 4.931137e+01
2 544     -5.095372e+02 1.431970e+02
2 4     -2.932375e+02 3.859176e+02
2 7     -8.739783e+01 4.375798e+02
2 545     -6.389166e+01 3.912141e+02
2 546     -4.684384e+02 3.674949e+02
2 547     -2.579196e+02 1.885042e+02
2 548     -3.751375e+02 -4.078711e+01
2 8     -3.304525e+02 1.347925e+02
2 9     -3.654341e+02 1.643361e+02
2 549     -3.380445e+02 1.984554e+02
2 550     -5.158485e+02 2.295457e+02
2 10     -2.712142e+02 2.390906e+02
2 12     -2.691220e+02 2.889034e+02
2 551     -1.755023e+02 3.683600e+02
2 13     -3.668539e+02 3.731657e+02
2 552     -1.709183e+02 4.363251e+02
2 553     -7.531558e+02 3.206727e+02
2 11     -3.358034e+02 2.615030e+02
2 554     -5.885706e+02 -5.018958e+01
2 555     -2.629683e+02 9.963928e+00
2 556     -2.688589e+02 4.733811e+02
2 31     -3.397173e+02 2.096835e+02
2 557     -4.060144e+02 2.700620e+02
2 26     -3.006538e+02 2.867532e+02
2 24     2.407239e+01 3.799280e+02
2 558     -2.775676e+02 4.399818e+02
2 30     -2.398529e+02 9.392273e+01
2 28     -3.150930e+02 2.316506e+02
2 29     -2.066369e+02 1.699427e+02
2 559     -2.795214e+02 1.545156e+02
2 23     -3.853810e+02 1.371870e+02
2 41     -4.387550e+02 -1.137048e+02
2 560     -5.594347e+02 -8.881348e+01
2 561     -5.066479e+02 -7.585889e+01
2 562     -1.869215e+02 -7.489014e+00
2 563     -2.110934e+02 7.129510e+01
2 564     -2.643633e+02 7.294070e+01
2 565     -2.848700e+02 -1.537793e+01
2 566     -5.768425e+02 -1.786365e+01
2 567     -6.683814e+02 -1.278882e+01
2 568     -3.200371e+02 1.666400e+02
2 569     -3.373947e+02 2.354468e+02
2 27     -4.416020e+02 2.705758e+02
2 34     -2.690468e+02 2.985698e+02
2 570     -4.263121e+02 4.689590e+02
2 571     -1.890920e+02 -1.498260e+02
2 572     -4.518802e+02 -1.501215e+02
2 38     -4.064952e+02 -1.126482e+02
2 21     -3.572477e+02 -9.989093e+01
2 573     -5.954056e+02 -7.968164e+01
2 574     1.597183e+02 -4.873199e+01
2 575     -4.761019e+02 -1.273237e+02
2 32     -2.017863e+02 2.917150e+02
2 576     -1.866549e+02 2.765474e+02
2 577     -5.051132e+02 9.590268e+01
2 66     -2.174659e+02 9.331393e+01
2 578     -4.539291e+02 9.170712e+01
2 48     -3.998358e+02 4.345395e+02
2 579     -2.410053e+02 1.680521e+02
2 42     -3.676888e+02 4.386866e+02
2 47     -4.446931e+02 4.363876e+02
2 45     -2.344210e+02 2.963531e+02
2 49     -2.813313e+02 4.311266e+02
2 75     -4.164859e+02 4.178849e+02
2 36     -2.774050e+02 4.090501e+02
2 580     -3.720092e+02 4.067259e+02
2 581     -8.016687e+01 4.038254e+02
2 35     2.407532e+00 4.043034e+02
2 52     -4.063717e+02 4.018261e+02
2 582     -3.788298e+02 3.694466e+02
2 583     -3.183046e+02 3.684881e+02
2 584     -2.524223e+02 -4.777429e+01
2 585     -2.248336e+02 -4.747467e+01
2 61     -1.827576e+02 -6.331732e+01
2 62     -4.136566e+02 -9.304456e+01
2 97     -3.122857e+02 -4.529602e+01
2 586     -3.313296e+02 -3.816254e+01
2 587     -2.840760e+02 -4.595380e+01
2 588     -2.510553e+02 2.217951e+02
2 589     -2.970822e+02 2.475580e+02
2 590     -2.212864e+02 2.674998e+02
2 591     -2.329467e+02 2.012106e+02
2 592     -2.671293e+02 1.712825e+02
2 64     -3.411847e+02 1.664944e+02
2 44     -1.730135e+02 1.383475e+02
2 593     -4.978308e+01 4.093112e+02
2 594     -1.657565e+02 4.752824e+02
2 595     -5.019223e+02 4.535662e+02
2 73     -2.822872e+02 4.533298e+02
2 88     -3.901337e+02 4.514750e+02
2 87     -2.631511e+02 4.341235e+02
2 596     -3.946131e+02 4.176853e+02
2 597     -1.109573e+02 4.090438e+02
2 598     -2.819981e+02 2.746609e+02
2 83     -3.180769e+02 3.987034e+02
2 80     -4.495992e+02 3.811305e+02
2 79     -2.759506e+02 3.796547e+02
2 599     -2.751454e+02 3.640783e+02
2 78     -2.861597e+02 2.934307e+02
2 84     -2.187966e+02 2.858165e+02
2 600     -5.471259e+02 -8.704144e+01
2 56     -4.545190e+02 -1.286507e+02
2 601     6.895120e+02 -4.851277e+02
2 602     -2.627096e+02 4.850476e+01
2 603     -4.107750e+02 8.227206e+01
2 604     -2.480407e+02 2.771188e+01
2 605     -2.105649e+02 2.822681e+01
2 606     -7.541500e+02 1.203961e+01
2 607     -4.154798e+02 -2.309045e+01
2 608     -2.692400e+02 -3.515308e+01
2 609     -2.685152e+02 -5.778668e+01
2 71     -5.956513e+02 -6.387500e+01
2 610     -1.788803e+02 4.750309e+02
