287 17565 64697
0 0     -2.652492e+02 -1.078278e+01
0 155     2.743576e+02 -4.619747e+02
0 156     -2.306810e+02 -9.076978e+01
0 157     -1.110370e+02 5.484644e+01
0 158     -1.389677e+02 4.979810e+01
0 159     9.080133e+01 3.668134e+01
0 160     1.031934e+01 -1.057043e+01
0 161     -1.000046e+02 -1.945984e+01
0 162     2.455520e+02 -1.828302e+01
0 163     -2.688612e+02 -2.736658e+01
0 164     -1.432884e+02 -3.009698e+01
0 165     6.722644e+01 -3.463300e+01
0 166     -3.163537e+02 -4.618396e+01
0 167     -3.524707e+02 -8.485718e+01
0 168     1.050104e+02 -4.764680e+02
0 169     2.632458e+02 -3.745546e+02
0 170     1.270106e+02 -3.792550e+02
0 171     -2.964187e+02 -3.869502e+02
0 172     4.756516e+02 -3.917776e+02
0 173     -1.606256e+01 -4.005272e+02
0 174     -5.091863e+02 -4.119009e+02
0 175     2.647177e+02 -4.126234e+02
0 176     -4.331009e+02 -4.241368e+02
0 177     3.505168e+02 -4.234786e+02
0 178     3.372104e+02 -4.377440e+02
0 179     -2.531950e+02 -4.700892e+02
0 180     -2.829198e+02 -3.719352e+02
0 181     5.184312e+02 -5.181667e+02
0 182     2.469630e+02 -5.874437e+02
0 183     2.407468e+02 -6.462804e+02
0 184     2.566445e+02 -6.643120e+02
0 185     3.023195e+02 -6.682727e+02
0 186     -4.636422e+02 -6.749482e+02
0 187     -4.031285e+02 -6.986334e+02
0 188     -1.021541e+02 -3.200037e+02
0 189     5.165963e+02 -2.459276e+02
0 190     2.544503e+02 -2.586145e+02
0 191     2.723641e+02 -2.587464e+02
0 192     4.979916e+02 -2.628741e+02
0 193     4.772310e+02 -2.717830e+02
0 194     3.990186e+01 -2.749625e+02
0 195     3.809592e+02 -2.772206e+02
0 196     4.594528e+02 -2.889088e+02
0 197     3.108257e+02 -2.982610e+02
0 198     -3.488578e+02 -3.041341e+02
0 199     6.645142e+01 -3.170693e+02
0 200     2.838263e+02 -2.452251e+02
0 201     8.357074e+01 -3.274722e+02
0 202     -1.189269e+02 -3.308489e+02
0 203     3.503413e+02 -3.331931e+02
0 204     4.281006e+01 -3.432061e+02
0 205     6.842670e+01 -3.413782e+02
0 206     -1.033718e+02 -3.444241e+02
0 207     -7.752841e+01 -3.454448e+02
0 208     -5.187643e+01 -3.451586e+02
0 209     -2.873468e+01 -3.448234e+02
0 210     -5.916077e+00 -3.444329e+02
0 211     1.718768e+01 -3.437910e+02
0 212     5.514832e+01 -3.580122e+02
0 213     4.229289e+02 -2.064916e+02
0 214     2.012661e+02 -7.246484e+01
0 215     1.957121e+02 -8.522491e+01
0 216     -2.470078e+01 -9.227985e+01
0 217     -1.395746e+01 -1.095255e+02
0 218     4.938171e+02 -1.321997e+02
0 219     3.141711e+01 -1.538127e+02
0 220     2.636093e+02 -1.755671e+02
0 221     4.503384e+02 -1.805231e+02
0 222     5.148281e+02 -1.842319e+02
0 223     5.242968e+02 -1.924449e+02
0 224     4.074271e+02 -2.050341e+02
0 225     4.453025e+02 -6.736700e+01
0 226     -4.667249e+02 -2.207558e+02
0 227     -4.517666e+02 -2.271277e+02
0 228     2.515004e+02 -2.288148e+02
0 229     4.303041e+02 -2.344882e+02
0 230     -2.897041e+02 -2.368983e+02
0 231     3.543275e+02 -6.577858e+02
0 232     3.469740e+02 -2.520883e+02
0 233     -3.016296e+01 -2.537855e+02
0 234     -6.839600e+00 -2.540637e+02
0 235     -2.772451e+02 -2.624555e+02
0 236     -5.946106e+00 -1.203845e+01
0 237     -4.810233e+02 3.438873e+02
0 238     5.048236e+02 8.814966e+01
0 239     4.465748e+02 3.969196e+01
0 240     4.133317e+02 3.736572e+01
0 241     1.155662e+02 2.878937e+01
0 242     3.722095e+02 2.021631e+01
0 243     1.515298e+02 1.678857e+01
0 244     4.282033e+02 1.504193e+01
0 245     -4.214050e+02 8.516296e+00
0 246     -2.111368e+02 6.110779e+00
0 247     -2.524060e+01 -1.102679e+01
0 248     2.391799e+02 -2.678790e+02
0 249     -6.101318e+01 -1.381512e+01
0 250     -7.914133e+01 -1.560254e+01
0 251     1.978969e+02 -2.140009e+01
0 252     -3.820969e+01 -2.510052e+01
0 253     -4.048127e+02 -6.666208e+02
0 254     4.297504e+01 -2.896069e+01
0 255     2.589791e+02 -5.258246e+01
0 256     -2.092095e+02 -5.721277e+01
0 257     1.692286e+02 -6.874707e+01
0 258     -4.136446e+02 -4.665953e+02
0 259     4.285480e+02 -4.003363e+02
0 260     -5.228922e+02 -4.078728e+02
0 261     -2.415307e+02 -4.103756e+02
0 262     -1.315241e+02 -4.450714e+02
0 263     -4.095092e+02 -4.467056e+02
0 264     2.110479e+02 -4.490343e+02
0 265     -2.777954e+01 -4.505571e+02
0 266     3.793176e+02 -4.501848e+02
0 267     4.424496e+02 -4.569307e+02
0 268     4.782831e+01 -4.783573e+02
0 269     2.931431e+02 -4.981400e+02
0 270     2.530182e+02 -6.376335e+02
0 271     -4.808476e+02 -5.833865e+02
0 272     2.341439e+02 -6.066416e+02
0 273     2.754083e+01 -6.144781e+02
0 274     -9.577216e+01 -6.165458e+02
0 275     -2.093657e+02 -6.214855e+02
0 276     -3.003608e+02 -2.766084e+02
0 277     -6.664429e+00 -3.191587e+02
0 278     1.972422e+02 -2.695836e+02
0 279     4.492372e+02 -2.913696e+02
0 280     3.554744e+02 -2.939356e+02
0 281     -2.931570e+01 -2.975706e+02
0 282     -6.717651e+00 -2.971622e+02
0 283     1.696222e+01 -2.966941e+02
0 284     5.968231e+01 -2.963787e+02
0 285     -9.598587e+01 -2.989044e+02
0 286     -5.322470e+01 -2.977628e+02
0 287     -3.931766e+02 -3.107862e+02
0 288     -2.905328e+01 -3.195297e+02
0 289     1.741321e+01 -3.185784e+02
0 290     4.069220e+01 -3.180972e+02
0 291     -7.637433e+01 -3.200410e+02
0 292     -5.314548e+01 -3.198380e+02
0 293     4.885962e+02 -3.215737e+02
0 294     -3.866471e+02 -3.252468e+02
0 295     4.198433e+02 -3.269263e+02
0 296     3.961641e+02 -3.303950e+02
0 297     -4.584288e+02 -3.405626e+02
0 298     -4.361696e+02 -3.429919e+02
0 299     -4.290603e+02 -3.574071e+02
0 300     2.478809e+02 -3.642177e+02
0 301     -9.736661e+01 -1.612087e+02
0 302     -4.970242e+02 2.323425e+01
0 303     -4.918988e+02 -4.213246e+02
0 304     3.896640e+02 -2.226947e+02
0 305     2.205750e+01 5.033789e+01
0 306     1.520351e+02 -2.507230e+02
0 307     -3.118433e+02 -2.619178e+02
0 308     3.573628e+02 -6.847196e+02
0 309     2.423290e+02 -6.788647e+02
0 310     -4.871871e+02 -1.659943e+01
0 311     -4.200100e+02 -2.977692e+01
0 312     1.861932e+01 -2.635120e+01
0 313     -4.733942e+02 -1.784174e+01
0 314     -4.855596e+02 -4.158081e+01
0 315     4.106700e+02 -1.082452e+01
0 316     -4.359560e+02 -7.561218e+00
0 317     4.355596e+02 -3.943481e+00
0 318     3.947679e+02 -3.265204e+01
0 319     -1.059541e+02 -2.944496e+02
0 320     -4.433201e+02 -4.650653e+01
0 321     4.192531e+02 -5.053680e+01
0 322     3.896115e+02 -5.724658e+01
0 323     -4.395582e+02 -6.160583e+01
0 324     -4.671813e+02 -6.386017e+01
0 325     -3.146101e+02 -6.452277e+01
0 326     -4.495147e+02 -8.478748e+01
0 327     4.409821e+02 6.134698e+01
0 328     -2.708023e+01 1.728217e+02
0 329     -3.440901e+02 8.340900e+01
0 330     -4.559860e+02 6.075793e+01
0 331     4.237568e+02 -3.168457e+00
0 332     -4.552583e+02 5.218933e+01
0 333     -5.026604e+02 3.838849e+01
0 334     4.014642e+02 2.875494e+01
0 335     -4.647524e+02 2.281873e+01
0 336     -5.077817e+02 1.811456e+01
0 337     4.157374e+02 1.589197e+01
0 338     3.866267e+02 6.841064e+00
0 339     -5.018036e+02 2.223694e+00
0 340     -4.776578e+02 -1.180908e+00
0 341     4.447751e+02 -2.394773e+02
0 342     -3.321309e+02 -1.942542e+02
0 343     3.388509e+02 -1.980319e+02
0 344     7.374506e+01 -2.052365e+02
0 345     4.464458e+02 -2.135822e+02
0 346     -5.076234e+02 -2.174013e+02
0 347     -8.926514e+00 -2.188190e+02
0 348     -2.142531e+02 -2.316446e+02
0 349     2.588196e+01 -1.926295e+02
0 350     -2.440647e+02 -2.451805e+02
0 351     1.625490e+02 -2.448936e+02
0 352     2.994721e+02 -2.441503e+02
0 353     4.138785e+02 -2.462482e+02
0 354     4.702214e+02 -2.539927e+02
0 355     -2.455225e+02 -2.615114e+02
0 356     4.850525e+01 -2.660682e+02
0 357     -2.894360e+02 -2.710049e+02
0 358     4.356901e+02 -6.961891e+02
0 359     -2.412222e+02 -1.064362e+02
0 360     3.738192e+02 -1.083668e+02
0 361     -3.521408e+01 -1.095134e+02
0 362     3.263245e+00 -1.172476e+02
0 363     -5.001367e+01 -1.183741e+02
0 364     1.656512e+01 -1.182119e+02
0 365     -4.195744e+02 -1.198134e+02
0 366     -3.993779e+02 -1.230594e+02
0 367     3.247800e+02 -1.256395e+02
0 368     -4.916833e+01 -9.668323e+01
0 369     2.557362e+02 -1.340114e+02
0 370     5.112708e+02 -1.409030e+02
0 371     -3.900980e+01 -1.511277e+02
0 372     4.773157e+02 -1.592888e+02
0 373     3.162413e+02 -1.607789e+02
0 374     -3.614397e+02 -1.701780e+02
0 375     4.248547e+02 -1.700098e+02
0 376     2.626887e+02 -4.737778e+02
0 377     2.663294e+02 -4.142635e+02
0 378     -4.721368e+02 -4.309330e+02
0 379     2.874670e+01 -4.380836e+02
0 380     1.623335e+02 -4.404368e+02
0 381     5.424500e+01 -4.431954e+02
0 382     7.961310e+01 -4.418741e+02
0 383     5.117900e+02 -4.445959e+02
0 91     -3.759357e+02 -4.467400e+02
0 384     -1.490607e+01 -4.486743e+02
0 385     -2.376073e+02 -4.599427e+02
0 386     4.100769e+00 -4.620629e+02
0 387     3.728961e+02 -4.649271e+02
0 388     2.133848e+02 -4.002217e+02
0 389     5.262548e+02 -4.750646e+02
0 390     2.008061e+02 -4.767965e+02
0 391     -2.954368e+02 -4.816259e+02
0 392     9.289014e+01 -4.886877e+02
0 393     2.558512e+02 -5.726497e+02
0 394     -1.246001e+02 -4.906028e+02
0 395     -2.407755e+02 -4.942544e+02
0 396     2.247103e+02 -4.999037e+02
0 397     3.923436e+02 -3.436426e+02
0 398     4.361100e+02 -3.007452e+02
0 399     2.548504e+02 -3.088880e+02
0 400     5.054811e+02 -3.091259e+02
0 401     -4.772521e+02 -3.147634e+02
0 402     4.107413e+02 -3.185046e+02
0 403     -5.106831e+02 -3.422074e+02
0 404     -1.174002e+02 -3.423715e+02
0 405     2.089194e+02 -4.877039e+02
0 406     3.487414e+02 -3.614929e+02
0 407     3.672639e+02 -3.597887e+02
0 408     -4.047444e+02 -3.712513e+02
0 409     3.277406e+02 -3.749198e+02
0 410     2.294571e+02 -3.755095e+02
0 411     3.101290e+02 -3.854980e+02
0 412     -5.034138e+02 -3.973127e+02
0 413     -3.467686e+02 -3.970789e+02
0 414     2.935569e+02 -3.962184e+02
0 415     5.043799e+02 -6.718040e+02
0 416     2.763428e+02 -6.446909e+02
0 417     -1.125823e+02 -6.457023e+02
0 418     2.728311e+02 -6.543712e+02
0 419     -3.218607e+02 -6.625898e+02
0 420     2.803970e+02 -6.641832e+02
0 421     -3.310118e+02 -6.731509e+02
0 422     -3.138932e+02 -6.725361e+02
0 423     5.233971e+02 -6.758060e+02
0 424     2.735932e+02 -7.044015e+02
0 425     -5.080519e+02 -2.944637e+02
0 426     4.380273e+02 -2.564661e+01
0 427     -2.241660e+02 -1.113818e+02
0 428     -4.603197e+02 -2.904286e+02
0 429     2.268580e+02 -2.774825e+02
0 430     2.580252e+02 -2.764349e+02
0 431     -2.875784e+02 -5.801719e+02
0 432     -3.082758e+02 -5.802615e+02
0 433     3.406357e+02 -5.743989e+02
0 434     -1.213257e+02 -5.917776e+02
0 435     -1.091573e+02 -6.174781e+02
0 436     -5.043005e+01 -6.278625e+02
0 437     -2.559667e+02 -5.048051e+02
1 438     -3.687473e+02 -5.035834e+01
1 439     5.188477e+01 2.574328e+02
1 440     -2.358447e+02 -2.764067e+02
1 441     -3.260319e+02 1.157224e+02
1 15     -8.705634e+01 -2.244587e+02
1 442     -4.937608e+02 -3.321645e+02
1 443     -4.619233e+02 2.821074e+02
1 444     -1.195541e+02 2.845030e+02
1 445     -4.823605e+02 4.388108e+02
1 446     -2.540378e+02 1.389213e+02
1 447     -4.036837e+02 3.229431e+01
1 448     -3.482272e+02 3.166305e+02
1 449     -6.510290e+02 1.406718e+02
1 450     -3.231217e+02 2.889494e+02
1 451     -3.588406e+02 8.914230e+01
1 452     -5.544718e+02 4.522134e+02
1 453     -7.037850e+02 3.870257e+02
1 454     -3.882797e+02 3.193379e+02
1 91     -4.091879e+02 -1.802211e+02
1 455     -2.732281e+02 -2.135001e+02
1 456     3.257770e+01 4.366248e+02
1 163     -2.755493e+02 3.360411e+02
1 457     -6.054671e+02 5.182875e+02
1 458     -1.107105e+02 3.003963e+02
1 459     6.175842e+00 2.563494e+02
1 460     -3.338386e+02 -3.703208e+02
1 461     -8.962805e+01 -3.599828e+02
1 462     -4.356554e+02 6.033234e+01
1 463     -2.851649e+02 -2.438043e+01
1 464     -3.327905e+02 -2.079182e+02
1 465     -2.687466e+02 2.151031e+02
1 466     -5.647420e+02 1.932031e+02
1 467     -2.720944e+02 1.696965e+02
1 468     -4.045029e+02 1.066356e+02
1 469     -2.434008e+02 2.651735e+02
1 470     -4.488514e+02 2.373674e+02
1 471     -5.506085e+01 -5.250549e+00
1 472     -5.368648e+02 1.843419e+02
1 473     -2.293268e+01 -8.693835e+01
1 474     -6.784819e+02 3.772963e+02
1 475     -4.076104e+02 3.575723e+02
1 476     -2.468416e+02 3.584435e+02
1 477     -6.919516e+02 4.154905e+02
1 478     -2.988006e+02 3.484511e+02
1 479     -7.789890e+02 4.379355e+02
1 480     -5.265982e+02 1.480447e+02
1 481     -2.946794e+02 1.362766e+02
1 482     -4.956757e+02 1.159980e+02
1 483     -3.273850e+02 3.243393e+02
1 484     -2.972440e+02 3.199830e+02
1 485     -7.625830e+01 3.109713e+02
1 486     -2.105806e+02 2.852477e+02
1 487     7.830017e+00 -1.677841e+02
1 488     -4.395390e+02 -1.506585e+02
1 489     -4.624617e+02 -1.365132e+02
1 490     -3.205714e+02 -9.231354e+01
1 491     -2.962098e+02 -8.624469e+01
1 492     -4.725294e+02 1.167140e+02
1 493     -3.874027e+02 6.766278e+01
1 494     -6.916292e+02 9.315866e+01
1 121     -1.994612e+02 -3.730554e+01
1 495     -3.445807e+02 -2.986407e+01
1 496     8.575519e+01 -5.081970e+00
1 497     -6.568170e+01 -3.416526e+02
1 498     -1.107404e+02 -3.430372e+02
1 499     -1.299316e+02 -3.951099e+02
1 500     -7.696345e+02 4.592720e+02
2 501     -3.720274e+02 2.776974e+02
2 502     -1.125319e+02 4.753998e+02
2 503     8.263873e+01 3.635728e+02
2 504     -1.853315e+02 3.636559e+02
2 505     2.660088e+02 2.822272e+02
2 19     -7.325889e+02 2.935005e+02
2 23     1.392281e+02 3.016159e+02
2 33     2.373584e+01 3.023347e+02
2 506     -1.335085e+02 3.041705e+02
2 34     -2.450422e+02 3.021303e+02
2 507     1.853986e+02 3.623028e+02
2 508     6.124084e+00 3.687572e+02
2 509     -1.080339e+02 3.684678e+02
2 510     -7.982791e+02 5.453003e+02
2 511     1.553282e+02 1.673905e+02
2 512     7.215096e+02 1.603154e+02
2 513     6.808873e+02 3.503685e+02
2 514     -4.585490e+02 9.728659e+01
2 515     6.762202e+02 2.477303e+02
2 516     5.050513e+02 2.720057e+02
2 517     -2.299982e+01 1.045600e+02
2 518     7.181543e+02 1.037783e+02
2 519     8.181696e+01 7.116101e+01
2 520     4.344397e+02 3.574277e+02
2 489     -7.241486e+02 4.427393e+02
2 521     5.163824e+01 3.218911e+02
2 522     -7.658682e+02 4.344009e+02
2 523     8.340881e+01 1.329985e+02
2 524     3.307688e+02 4.722369e+01
2 525     -1.626971e+02 2.117176e+02
2 526     7.093652e+02 2.047601e+02
2 527     -4.363005e+02 1.865633e+02
2 528     3.313032e+02 1.882325e+02
2 529     -4.124846e+02 1.730565e+02
2 530     -1.868967e+02 1.329928e+02
2 531     -6.800464e+02 3.896222e+02
2 532     -4.884485e+01 4.422682e+02
2 533     -6.104767e+01 4.416878e+02
2 534     5.763439e+02 4.588463e+02
2 535     -7.536159e+02 4.685643e+02
2 536     4.821813e+02 4.919481e+02
2 537     3.860291e+00 5.503716e+02
2 538     -3.303351e+01 5.502714e+02
2 209     -6.898401e+01 5.503912e+02
2 539     -1.059358e+02 5.509168e+02
2 540     -4.374996e+02 1.522142e+02
2 110     5.945654e+01 2.124238e+02
2 207     -1.472827e+02 5.510403e+02
2 541     -7.771564e+01 1.627736e+02
2 542     -6.500137e+02 9.548163e+01
2 498     -2.117816e+02 2.078474e+02
2 543     7.768311e+02 2.068615e+02
2 544     -5.960228e+02 2.033364e+02
2 545     5.359149e+02 1.999459e+02
2 546     4.120397e+02 1.130900e+02
2 547     -2.844293e+01 1.630437e+02
2 548     7.766776e+02 1.385478e+02
2 549     -3.082256e+02 1.376334e+02
2 550     -6.444971e+02 4.234019e+02
2 551     -1.640785e+02 4.018793e+02
2 552     -6.540644e+02 3.971344e+02
2 553     9.318378e+01 4.003366e+02
2 554     -5.740312e+02 3.662693e+02
2 555     -4.566024e+02 3.627944e+02
2 556     -8.499829e+01 -2.173287e+02
2 557     -5.948320e+02 5.729138e+01
2 558     6.386892e+02 3.881903e+01
2 559     1.090586e+02 6.423584e+00
2 560     -1.838970e+02 -6.217938e+01
2 561     -4.541384e+02 2.114865e+02
2 562     1.654651e+01 2.578837e+02
2 563     -9.360828e+01 3.860386e+02
2 564     -3.053816e+02 3.850056e+02
2 565     -5.958751e+02 3.880680e+02
2 566     -3.520386e+01 3.919112e+02
2 265     -6.988086e+01 3.914481e+02
2 567     5.385450e+02 3.949124e+02
2 384     -5.255072e+01 3.982802e+02
2 568     1.881727e+02 3.987928e+02
2 569     2.775458e+01 3.994546e+02
2 570     -2.316149e+02 4.013387e+02
2 571     -4.646695e+02 4.169746e+02
2 572     -6.980950e+02 4.301159e+02
2 573     -4.581059e+02 1.340377e+02
2 574     1.282883e+02 1.363463e+02
2 499     -2.332783e+02 1.356054e+02
2 575     -4.021094e+01 2.266794e+02
2 576     -6.467401e+01 1.934676e+02
2 577     7.595592e+02 2.007591e+02
2 578     -3.844244e+02 2.048861e+02
2 579     6.455023e+02 2.070025e+02
2 580     -2.560376e+01 2.089802e+02
2 581     -7.773071e+01 2.088908e+02
2 582     -6.352069e+01 2.253616e+02
2 583     2.410248e+01 5.725325e+02
2 584     -1.266353e+02 5.735956e+02
2 585     2.427759e+01 1.228806e+02
2 586     -1.262845e+02 1.224438e+02
2 587     1.235665e+02 1.704415e+02
2 588     -1.156622e+01 2.210470e+02
2 589     5.249921e+01 3.338368e+02
2 590     -2.647943e+02 4.007529e+02
2 591     -5.148620e+02 4.426222e+02
2 592     4.250166e+02 4.531468e+02
2 593     -5.410151e+02 4.580376e+02
2 594     -5.701054e+02 4.722736e+02
2 595     -6.906229e+02 4.734034e+02
2 596     7.528132e+02 -2.595635e+02
2 597     2.939374e+01 -4.512490e+02
2 598     7.575564e+02 7.739014e+01
2 599     6.586888e+02 7.756482e+01
2 600     7.508027e+02 -1.935803e+02
2 601     -3.064137e+02 1.059286e+02
2 602     -4.822146e+02 3.487190e+02
2 603     5.095348e+02 3.979469e+02
2 604     -6.279080e+02 4.039996e+02
2 605     -8.581622e+01 4.143754e+02
2 606     -5.342136e+02 3.453097e+02
2 607     -4.034326e+01 4.223373e+02
2 608     3.758357e+02 4.255910e+02
2 609     -4.906700e+02 4.286143e+02
2 610     -5.902830e+02 4.281627e+02
2 611     -1.242197e+02 2.395388e+02
2 612     1.689489e+02 2.109126e+02
2 613     -2.714335e+02 2.123481e+02
2 614     -9.063641e+01 2.202137e+02
2 615     1.390186e+01 2.241136e+02
2 616     -2.388599e+01 2.347480e+02
2 617     -7.935095e+01 2.348647e+02
2 618     2.161285e+01 2.377239e+02
2 619     7.224396e+02 4.612864e+02
2 620     -4.496540e+02 3.349884e+02
2 621     6.945553e+02 4.690558e+02
2 622     -6.886585e+02 4.893129e+02
2 623     -7.193116e+02 4.931254e+02
2 624     -6.156987e+02 5.015042e+02
2 625     -5.225525e+01 2.074237e+02
2 626     -7.663793e+02 5.155706e+02
2 627     -6.625452e+02 5.280739e+02
2 628     6.349534e+02 5.556956e+02
2 629     4.085786e+02 1.992700e+01
2 630     4.100836e+02 -1.155791e+02
2 631     -1.169426e+02 1.698779e+02
2 632     -2.776849e+01 1.403504e+02
2 633     -1.222156e+01 1.494352e+02
2 634     1.319202e+02 1.850554e+02
2 635     -1.432379e+02 1.915722e+02
2 636     -9.086530e+01 1.943948e+02
2 637     -1.199500e+01 1.948451e+02
2 638     1.447280e+02 1.980385e+02
2 639     -2.717133e+01 4.985858e+01
2 640     7.443306e+02 9.528656e+01
