64 3432 16351
0 0     2.203677e+02 1.492853e+01
1 63     1.028053e+02 3.718137e+02
1 64     1.523663e+02 4.181368e+02
1 65     -8.216815e+01 5.561754e+02
1 66     -5.273193e+00 5.092132e+02
1 67     7.912183e+01 4.931356e+02
1 68     3.428156e+01 6.155226e+02
1 69     1.740043e+02 4.849608e+02
1 70     -8.739807e+01 4.225275e+02
1 71     3.294077e+02 -2.486427e+02
1 72     1.765156e+02 5.228513e+02
1 73     -1.098505e+01 4.797072e+02
1 74     5.190967e+01 4.462324e+02
1 75     3.650671e+01 4.419349e+02
1 76     1.376500e+02 3.887490e+02
1 77     -4.726929e+00 3.508789e+02
1 78     6.974170e+01 3.483737e+02
1 79     -3.589971e+02 -3.522174e+02
1 80     -3.158080e+02 -3.894761e+02
1 81     4.295549e+02 -4.041447e+02
1 82     -7.279935e+01 3.887198e+02
1 83     1.764021e+02 4.502850e+02
1 84     -1.093161e+02 4.510152e+02
1 85     -1.086488e+02 5.205797e+02
1 86     1.361410e+02 5.816064e+02
1 87     -6.956192e+01 5.812729e+02
1 88     7.220831e+01 6.169469e+02
1 89     -5.567566e+00 6.160772e+02
1 90     4.356396e+01 6.235962e+00
1 91     5.192438e+01 -4.485227e+02
1 92     5.721216e+01 2.927866e+02
1 93     -3.138773e+02 -2.326840e+02
1 94     -7.459564e+01 -2.308287e+02
1 95     -6.122821e+01 -3.825764e+02
1 96     -8.680676e+01 3.450535e+02
1 97     -1.785634e+02 5.404388e+02
1 98     2.215882e+02 4.123207e+02
1 99     2.456702e+02 5.383169e+02
1 100     2.343627e+02 5.089308e+02
1 101     -1.867136e+02 4.875698e+02
1 102     2.528730e+02 4.852053e+02
1 103     2.770549e+02 4.848265e+02
1 104     3.011868e+02 4.507392e+02
1 105     -1.788870e+02 4.342679e+02
1 106     2.428848e+02 4.341064e+02
1 107     -2.051409e+02 4.286817e+02
1 108     -1.387767e+02 4.222487e+02
1 109     -7.317618e+01 6.588378e+02
1 110     2.692520e+02 5.442678e+02
1 111     -2.010168e+02 5.456968e+02
1 112     2.064854e+02 5.501378e+02
1 113     3.333002e+01 5.732512e+02
1 114     2.237122e+02 5.846598e+02
1 115     -1.551024e+02 5.893919e+02
1 116     2.446129e+02 5.961809e+02
1 117     -1.244243e+02 5.980762e+02
1 118     -1.778400e+02 6.011713e+02
1 119     1.879658e+02 6.266831e+02
1 120     -1.190057e+02 6.275081e+02
1 121     1.565627e+02 6.343517e+02
1 122     3.000793e+01 2.807038e+02
1 123     -2.131670e+02 4.888480e+02
1 124     -1.243298e+01 -4.758147e+02
1 125     3.514938e+02 -2.048772e+02
1 126     -3.864894e+02 -2.010787e+02
1 127     -1.588157e+02 3.865953e+02
1 128     9.113403e+01 2.867282e+02
1 129     -2.602682e+01 2.875508e+02
1 130     1.415602e+02 3.075910e+02
1 131     -8.043460e+01 3.091425e+02
1 132     -1.196663e+02 3.079994e+02
1 133     -4.874658e+01 3.104512e+02
1 134     6.523071e+00 3.145985e+02
1 135     -1.449235e+02 3.245007e+02
1 136     -1.245108e+02 3.420554e+02
1 137     1.883934e+02 3.427144e+02
1 138     1.802960e+02 3.782540e+02
1 139     2.205087e+02 3.839720e+02
1 140     -5.694827e+01 6.894852e+02
1 141     1.154638e+02 5.288705e+02
1 142     1.284500e+02 4.857927e+02
1 143     8.892804e+01 6.788278e+02
1 144     8.063788e+01 5.609295e+02
1 145     5.976404e+01 6.492348e+02
1 146     1.426998e+02 6.572366e+02
1 147     -4.862701e+01 4.435027e+02
1 148     -2.187485e+01 6.768904e+02
1 149     9.646960e+01 6.975090e+02
1 150     1.142689e+02 4.417700e+02
1 151     2.731262e+02 4.553084e+02
1 152     -2.114830e+02 4.574410e+02
1 153     1.384339e+02 4.595807e+02
1 154     -7.279416e+01 4.618484e+02
1 155     -2.688724e+01 4.308364e+02
1 156     8.985852e+01 4.306173e+02
1 157     1.777489e+02 5.631680e+02
1 158     -6.002731e+01 4.875036e+02
1 159     1.385992e+02 5.110017e+02
1 160     -2.121975e+02 4.135340e+02
1 161     -7.145383e+01 5.131266e+02
1 162     -2.095436e+02 5.169497e+02
1 163     -4.799884e+01 5.298632e+02
1 164     1.096244e+02 5.549234e+02
1 165     -4.273810e+01 5.571479e+02
1 166     6.138690e+01 5.812995e+02
1 167     6.394958e+00 5.806465e+02
1 168     2.290244e+02 6.211252e+02
1 169     -1.625866e+02 6.249119e+02
1 170     1.849800e+02 6.600505e+02
1 171     -1.134855e+02 6.628836e+02
1 172     3.652863e+01 6.845907e+02
1 173     1.294405e+02 6.915973e+02
1 174     2.693909e+00 7.066540e+02
1 175     -7.953265e+01 -1.962354e+02
1 176     -4.619827e+01 4.148683e+02
1 177     4.057504e+02 -2.550562e+02
1 178     1.106877e+02 4.139896e+02
1 179     -1.343829e+01 5.611819e+02
1 180     3.510240e+02 -5.732346e+02
1 181     3.341020e+02 -7.326451e+02
1 182     7.308527e+01 7.426697e+00
1 183     8.562866e+00 -1.598999e+01
1 184     -1.389752e+01 4.106879e+02
1 185     5.383173e+01 4.109911e+02
1 186     7.847650e+01 4.090923e+02
1 187     -1.967810e+02 4.004887e+02
1 188     3.157166e+01 3.984337e+02
1 189     2.584625e+02 3.995587e+02
1 190     3.544922e+00 3.880007e+02
1 191     -5.339102e+01 3.515458e+02
1 192     3.115997e+01 3.292338e+02
1 193     -6.591507e+01 2.760533e+02
1 194     6.378406e+01 2.560303e+02
1 195     3.934045e+01 3.792841e+01
1 196     -5.247763e+01 6.763000e+00
1 197     6.075397e+01 3.857799e+02
1 198     1.844105e+02 3.020909e+02
1 199     -3.944553e+01 3.062869e+02
1 200     9.429315e+01 3.532026e+02
1 201     2.705416e+02 3.544278e+02
1 202     1.540679e+02 3.716784e+02
1 203     -9.085474e+01 3.718041e+02
1 204     -1.374087e+02 3.776616e+02
1 205     2.976161e+02 4.178330e+02
1 206     -2.336971e+02 4.203985e+02
1 207     -1.316801e+02 4.464053e+02
1 208     1.294902e+02 2.720586e+02
1 209     -1.073503e+02 2.637233e+02
1 210     -3.074707e+00 2.554008e+02
1 211     -2.155124e+01 3.903223e+01
1 212     4.962158e-01 3.522784e+01
1 213     -3.726773e+02 3.181219e+01
1 214     -5.375739e+01 -3.393890e+01
1 215     7.380420e+01 -3.447070e+01
1 216     4.108702e+02 -5.082947e+01
1 217     -3.878534e+02 -1.070336e+02
1 218     -3.207011e+02 -1.071841e+02
1 219     1.146405e+01 6.410479e+02
1 220     1.013904e+01 6.588104e+02
1 221     -1.563350e+02 4.662033e+02
1 222     2.127653e+02 4.417715e+02
1 223     1.498208e+02 3.443380e+02
1 224     3.460670e+02 -8.715912e+01
1 225     6.828741e+01 7.079448e+02
1 226     8.150629e+01 6.503503e+02
1 227     1.868422e+02 4.676479e+02
1 228     -9.632874e+00 6.362749e+02
1 229     -4.989090e+01 6.225705e+02
1 230     1.551752e+02 5.985430e+02
1 231     -1.942838e+02 5.941382e+02
1 232     -1.951533e+02 5.750523e+02
1 233     2.623838e+02 5.719066e+02
1 234     -1.297547e+02 5.279288e+02
1 235     2.788206e+02 5.143281e+02
1 236     -4.527328e+01 5.061958e+02
1 237     -1.336100e+02 4.871269e+02
1 238     2.229548e+02 4.856135e+02
1 239     3.541585e+02 -5.364984e+02
1 240     3.473747e+02 -6.146494e+02
1 241     4.188152e+02 -6.149280e+02
1 242     4.167128e+02 -6.415483e+02
1 243     -3.265169e+02 -3.840532e+02
1 244     -3.868390e+02 -1.779772e+02
1 245     -3.236679e+02 -1.776558e+02
1 246     3.445466e+02 -1.833334e+02
1 247     4.764081e+01 -1.940988e+02
1 248     3.575814e+02 -2.005339e+02
1 249     -3.823403e+02 -3.450696e+02
1 250     4.126830e+02 -3.508801e+02
1 251     3.955741e+02 -1.111845e+02
1 252     -4.007883e+01 -4.161942e+02
1 253     4.094705e+02 -4.562695e+02
1 254     -4.110626e+02 -2.665354e+02
1 255     5.085284e+01 -1.782330e+02
1 256     9.891083e+01 -1.784809e+02
1 257     3.405226e+02 -1.993151e+02
1 258     4.148158e+02 -1.993325e+02
1 259     -5.621918e+01 -2.413181e+02
1 260     -3.098831e+01 -1.785677e+02
1 261     -5.529565e+01 -3.413727e+02
1 262     7.456342e+01 -3.579384e+02
1 263     -1.859741e+01 3.159854e+02
1 264     6.103687e+01 2.778937e+02
1 265     1.667480e+02 2.607392e+02
1 266     1.886761e+01 1.273358e+01
1 267     -7.638943e+01 -4.513843e+01
1 268     -3.127979e+01 -4.622992e+01
1 269     -3.447800e+01 -7.632147e+01
1 270     -3.381169e+02 -3.600068e+02
1 271     -3.003259e+01 -1.165987e+02
1 272     -9.062061e+01 -1.219763e+02
1 273     3.757990e+01 -1.243741e+02
1 274     3.425201e+02 -1.345158e+02
1 275     9.913275e+01 -1.368369e+02
1 276     6.405426e+01 -1.562195e+02
1 277     9.907025e+01 -1.571718e+02
1 278     -7.743558e+01 -1.781416e+02
1 279     3.071369e+02 -6.285789e+02
1 280     -3.709997e+02 -5.637151e+02
1 281     -3.876369e+02 -5.663040e+02
1 282     3.648193e+01 -5.749154e+02
1 283     5.955157e+01 -6.109318e+02
1 284     -3.644751e+02 -5.484386e+02
1 285     -6.761346e+01 -6.420386e+02
1 286     -3.436131e+02 -6.674856e+02
1 287     9.968347e+01 -6.851639e+02
1 288     -3.844486e+02 -4.231936e+02
1 289     -4.107166e+02 -4.392024e+02
1 290     -3.866735e+02 -4.663317e+02
1 291     -6.199286e+01 -4.659419e+02
1 292     -4.159165e+02 -5.091342e+02
1 293     -1.472820e+02 5.338109e+02
1 294     -4.167292e+02 -5.415695e+02
1 295     6.134277e+00 6.881913e+02
1 296     -9.824942e+01 6.086690e+02
1 297     -6.733463e+01 6.112542e+02
1 298     -1.654612e+02 6.273393e+02
1 299     1.282355e+02 6.345014e+02
1 300     -5.793292e+01 6.351752e+02
1 301     1.050623e+02 6.422286e+02
1 302     -1.328003e+01 6.505762e+02
1 303     3.573010e+01 6.577177e+02
1 304     -3.888561e+02 -5.290144e+02
1 305     1.190480e+02 6.723518e+02
1 306     1.262090e+02 3.337125e+02
1 307     1.032890e+02 7.225480e+02
1 308     -3.171732e+01 7.236585e+02
1 309     8.501910e+01 3.046409e+02
1 310     -3.391145e+02 -1.929783e+02
1 311     -2.885059e+01 -1.560754e+02
1 312     7.995294e+01 6.821893e+02
1 313     1.647777e+02 3.448053e+02
1 314     -1.686351e+02 3.457297e+02
1 315     1.667886e+02 3.600673e+02
1 316     -4.119351e+01 3.242570e+02
1 317     -1.436790e+02 3.629930e+02
1 318     1.963362e+02 3.981894e+02
1 319     1.913778e+02 4.247585e+02
1 320     2.325765e+02 3.441679e+02
1 321     -1.488529e+02 4.426660e+02
1 322     1.668527e+02 6.077504e+02
1 323     3.325696e+01 4.870732e+02
1 324     2.134783e+02 5.306280e+02
1 325     1.983223e+02 5.726094e+02
1 326     -1.261356e+02 5.748863e+02
1 327     1.996461e+02 5.871709e+02
1 328     1.835071e+02 5.920583e+02
1 329     2.272086e+02 6.073590e+02
1 330     -4.999939e+01 3.343468e+02
1 331     -1.493980e+02 3.453739e+02
1 332     5.169604e+01 3.891817e+02
1 333     1.036341e+02 3.246455e+02
1 334     4.219574e+01 3.143552e+02
1 335     7.306824e+00 3.118907e+02
1 336     -2.209464e+01 3.058158e+02
1 337     -2.780093e+01 5.217798e+01
1 338     2.582239e+01 5.542096e+01
1 339     1.180035e+02 2.936654e+02
1 340     -1.386447e+02 5.804199e+02
1 341     -3.045681e+02 -2.897161e+02
1 342     1.339917e+02 6.918673e+02
1 343     1.198228e+02 6.453143e+02
1 344     2.771285e+02 6.226450e+02
1 345     1.617979e+02 6.187659e+02
1 346     -1.130810e+02 6.070655e+02
1 347     1.829417e+02 6.055499e+02
1 348     2.297414e+02 4.498676e+02
1 349     2.888441e+02 5.590727e+02
1 350     -3.380322e+02 -2.675560e+02
1 351     -2.434356e+02 5.544714e+02
1 352     1.479215e+02 5.132618e+02
1 353     3.211619e+02 4.792818e+02
1 354     2.311642e+02 4.731064e+02
1 355     1.487065e+02 4.567559e+02
1 356     -3.040463e+02 -1.984744e+02
1 357     -3.749146e+01 -1.905651e+02
1 358     6.511285e+01 -1.910715e+02
1 359     -3.519446e+02 -1.926699e+02
1 360     -3.181855e+02 -1.932153e+02
1 361     -3.920281e+02 -1.537848e+02
1 362     -3.644943e+01 -2.633794e+02
1 363     -6.604813e+01 -2.523790e+02
1 364     -7.640848e+01 -2.167841e+02
1 365     -4.101553e+02 -2.325334e+02
1 366     -3.571169e+02 -2.398080e+02
1 367     -3.660382e+02 -2.885120e+01
1 368     -3.324210e+02 -4.797028e+01
1 369     -3.901941e+01 -5.650757e+01
1 370     8.802191e+01 -5.700500e+01
1 371     -3.822560e+02 -6.690802e+01
1 372     -3.254722e+02 -6.673480e+01
1 373     9.262366e+01 -2.643197e+02
1 374     -3.343296e+02 -4.972794e+02
1 375     -4.156860e+02 -4.776418e+02
1 376     -4.961728e+01 -4.899058e+02
1 377     3.694393e+02 -4.945309e+02
1 378     -3.070134e+02 -4.507236e+02
1 379     -3.530698e+02 -5.400183e+02
1 380     -3.044751e+02 -3.589440e+02
1 381     -4.138739e+02 -3.879285e+02
1 382     -3.606817e+02 -4.390123e+02
1 383     -3.423398e+01 -3.414514e+02
1 384     5.440021e+01 -3.407843e+02
1 385     2.278112e+02 3.046078e+02
1 386     -3.057485e+02 -3.367213e+02
1 387     -3.354272e+02 -3.498230e+02
1 388     -2.819436e+02 -2.956277e+02
1 389     4.771210e+01 -7.035278e+02
1 390     -3.535161e+02 -6.237515e+02
2 44     1.861011e+01 4.913808e+02
2 391     1.607666e+00 -1.034482e+02
2 392     7.497314e+00 -6.266244e+02
2 393     4.110473e+02 -7.769293e+01
2 394     -4.130840e+02 -5.224432e+01
2 395     7.813940e+01 -7.392798e+01
2 396     -2.668915e+02 6.086260e+02
2 397     -1.448760e+02 6.096852e+02
2 398     1.997509e+02 5.709166e+02
2 399     -7.751514e+01 -5.183630e+01
2 53     -8.051978e+01 -2.562002e+02
2 400     8.285358e+01 -3.722979e+02
2 401     -3.115784e+00 -7.571228e+00
2 402     -1.492859e+00 -8.278210e+01
2 403     -1.094910e+00 -1.539124e+02
2 404     -3.117798e+00 -2.486599e+02
2 405     -3.804785e+02 -2.648226e+02
2 406     -3.186785e+02 -3.045182e+02
2 60     -4.379738e+02 -4.708723e+02
2 407     -1.024013e+02 5.647351e+02
2 408     -4.470903e+02 -6.270383e+02
2 409     -4.973887e+02 -4.586414e+02
2 80     -3.761225e+02 -3.613042e+02
2 410     -4.301797e+02 -3.203093e+02
2 55     1.350568e+01 3.771100e+02
2 411     -2.881921e+01 4.967505e+02
2 412     6.137708e+01 4.909958e+02
2 413     1.663370e+02 4.948797e+02
2 414     -1.318622e+02 4.947419e+02
2 70     -1.099527e+02 4.362188e+02
2 64     1.425730e+02 4.270154e+02
2 415     -5.557977e+01 3.916321e+02
2 63     8.743988e+01 3.874314e+02
2 416     -4.456279e+02 3.160830e+02
2 417     -1.164719e+02 -6.186863e+02
2 28     1.653864e+01 6.035757e+02
2 27     -4.929883e+01 5.943445e+02
2 418     1.734406e+01 5.324634e+02
2 419     4.508655e+01 4.629628e+02
2 82     -9.731464e+01 4.108174e+02
2 78     5.981061e+01 3.681194e+02
2 420     -3.691253e+02 -1.931168e+02
2 421     4.403278e+01 -2.075986e+02
2 422     -8.217310e+01 -3.631493e+02
2 423     -7.066119e+01 -6.186256e+02
2 133     -6.803625e+01 3.397248e+02
2 96     -1.099152e+02 3.688329e+02
2 424     1.776276e+01 4.536161e+02
2 425     -7.957947e+00 4.628654e+02
2 86     1.234651e+02 5.735397e+02
2 88     5.572156e+01 6.083653e+02
2 89     -2.740460e+01 6.092448e+02
2 426     -4.459925e+02 3.902821e+02
2 427     9.257794e+01 6.373416e+02
2 428     -3.872717e+01 4.598193e+01
2 429     9.579187e+01 -5.063271e+02
2 430     1.265464e+02 -4.701733e+02
2 431     -4.810182e+02 -1.915764e+02
2 432     -3.532376e+02 -1.493990e+02
2 433     3.307825e+01 4.072217e+01
2 434     -6.029675e+01 -4.287562e+02
2 108     -1.681259e+02 4.411506e+02
2 106     2.392357e+02 4.409015e+02
2 188     1.639838e+01 4.153855e+02
2 190     -1.236475e+01 4.118379e+02
2 127     -1.870753e+02 4.096779e+02
2 435     -1.563947e+02 3.944739e+02
2 139     2.170121e+02 3.972773e+02
2 436     2.806198e+02 3.969048e+02
2 437     1.776071e+02 3.924512e+02
2 136     -1.500154e+02 3.686501e+02
2 143     7.034015e+01 6.592665e+02
2 438     1.842858e+02 3.606554e+02
2 107     -2.379728e+02 4.492728e+02
2 439     2.979597e+02 4.543676e+02
2 105     -2.074338e+02 4.539776e+02
2 102     2.452161e+02 4.869263e+02
2 101     -2.160646e+02 5.011828e+02
2 440     -2.434339e+02 5.030772e+02
2 441     -1.943714e+02 5.209492e+02
2 99     2.361650e+02 5.335551e+02
2 97     -2.049653e+02 5.474851e+02
2 113     1.541150e+01 5.710182e+02
2 167     -1.218848e+01 5.745466e+02
2 121     1.422466e+02 6.184916e+02
2 130     1.352151e+02 3.310273e+02
2 442     -6.542645e+01 -6.060074e+02
2 443     4.089653e+02 -5.798134e+02
2 444     9.386346e+01 3.425676e+02
2 445     -4.574277e+02 -1.592882e+02
2 446     3.350683e+02 -5.905237e+01
2 122     1.584473e+01 3.092719e+02
2 128     8.112854e+01 3.112318e+02
2 447     -4.488684e+01 3.154380e+02
2 131     -1.035775e+02 3.369643e+02
2 335     -1.067072e+01 3.382496e+02
2 184     -3.316876e+01 4.291810e+02
2 120     -1.422784e+02 6.216551e+02
2 114     2.103899e+02 5.741319e+02
2 147     -6.884167e+01 4.587945e+02
2 159     1.237514e+02 5.123551e+02
2 235     2.686421e+02 5.099177e+02
2 100     2.272319e+02 5.085306e+02
2 158     -8.153394e+01 4.981314e+02
2 142     1.155215e+02 4.905739e+02
2 448     -2.003069e+02 4.785096e+02
2 152     -2.388352e+02 4.761118e+02
2 154     -9.425128e+01 4.761585e+02
2 153     1.266642e+02 4.678589e+02
2 449     9.928497e+01 5.297780e+02
2 450     2.655441e+02 4.594340e+02
2 150     1.013167e+02 4.524531e+02
2 155     -4.633075e+01 4.475274e+02
2 156     7.592480e+01 4.442078e+02
2 178     9.891907e+01 4.281115e+02
2 187     -2.257139e+02 4.250938e+02
2 186     6.616693e+01 4.241444e+02
2 451     1.875106e+02 5.843387e+02
2 172     1.761749e+01 6.679587e+02
2 148     -4.256451e+01 6.603133e+02
2 140     -8.276819e+01 6.710148e+02
2 452     -9.392056e+01 6.461788e+02
2 146     1.260126e+02 6.390361e+02
2 145     4.151117e+01 6.367938e+02
2 119     1.718671e+02 6.113885e+02
2 117     -1.540558e+02 5.975799e+02
2 115     -1.796992e+02 5.895587e+02
2 162     -2.346747e+02 5.264837e+02
2 166     4.385291e+01 5.748293e+02
2 453     -1.841227e+02 5.626464e+02
2 454     -3.280048e+01 5.614556e+02
2 144     6.459052e+01 5.587502e+02
2 164     9.201807e+01 5.510179e+02
2 112     1.963454e+02 5.466463e+02
2 163     -6.918829e+01 5.355753e+02
2 98     2.178455e+02 4.236953e+02
2 455     2.300848e+01 -1.927214e+02
2 456     -3.921736e+02 -3.558453e+02
2 457     -4.797845e+01 -1.597567e+02
2 458     -4.059805e+02 -7.352670e+02
2 459     -4.374617e+02 -6.695304e+02
2 460     -4.622018e+02 -6.675571e+02
2 461     -4.062504e+02 -6.429576e+02
2 211     -3.670105e+01 7.952112e+01
2 189     2.540892e+02 4.107659e+02
2 462     -5.599994e+01 -4.753918e+02
2 197     4.688196e+01 4.054886e+02
2 191     -7.551282e+01 3.746543e+02
2 463     -7.772430e+01 3.434738e+02
2 464     -1.476219e+02 3.365650e+02
2 198     1.796765e+02 3.257169e+02
2 193     -8.859460e+01 3.040327e+02
2 194     5.391364e+01 2.837590e+02
2 195     3.098340e+01 7.511182e+01
2 225     4.795544e+01 6.804225e+02
2 465     3.970168e+02 5.414105e+01
2 466     6.692010e+01 4.335284e+01
2 467     -6.480658e+01 4.345052e+02
2 214     -7.353778e+01 7.859375e+00
2 215     6.981604e+01 4.305420e+00
2 468     -1.043670e+02 -1.602123e+02
2 171     -1.392132e+02 6.500813e+02
2 212     -1.232849e+01 7.271466e+01
2 469     -3.961030e+02 -5.587697e+02
2 314     -1.954968e+02 3.766247e+02
2 470     -4.564452e+02 -1.336605e+02
2 471     4.793751e+02 3.694021e+02
2 236     -6.555701e+01 5.140532e+02
2 472     1.279338e+02 3.728511e+02
2 473     -4.234778e+02 3.741362e+02
2 315     1.595567e+02 3.808412e+02
2 319     1.842413e+02 4.330915e+02
2 474     -1.520676e+02 4.443352e+02
2 207     -1.597505e+02 4.630048e+02
2 475     9.882123e+01 4.730159e+02
2 476     -6.367767e+01 4.803714e+02
2 477     -1.640643e+02 4.821876e+02
2 237     -1.632304e+02 5.001669e+02
2 478     -2.775497e+02 5.015689e+02
2 431     -4.838998e+02 -1.946655e+02
2 219     -9.845886e+00 6.298797e+02
2 479     -4.583911e+01 -1.425959e+02
2 480     -3.739365e+02 -8.681720e+01
2 313     1.584796e+02 3.575980e+02
2 481     -5.581726e+00 9.657452e+01
2 210     -1.935785e+01 2.852137e+02
2 208     1.231537e+02 2.969212e+02
2 482     1.571774e+02 6.568880e+02
2 173     1.139804e+02 6.673421e+02
2 483     -1.281827e+02 6.676395e+02
2 484     9.619220e+01 6.810651e+02
2 485     -6.300824e+01 6.854397e+02
2 486     3.030627e+01 6.916058e+02
2 487     1.929993e+00 6.916201e+02
2 170     1.715776e+02 6.398224e+02
2 292     -5.044822e+02 -4.948324e+02
2 488     -4.469354e+01 -2.851591e+02
2 489     5.015961e+01 -1.817520e+02
2 490     -1.600998e+02 4.223635e+02
2 491     -2.039435e+02 5.017886e+02
2 492     2.513141e+02 5.787486e+02
2 161     -9.333179e+01 5.208660e+02
2 493     2.758172e+02 5.281463e+02
2 234     -1.565600e+02 5.363895e+02
2 293     -1.739890e+02 5.419724e+02
2 494     -1.484978e+02 5.554419e+02
2 165     -6.431610e+01 5.578628e+02
2 233     2.509228e+02 5.595601e+02
2 495     1.538759e+02 5.759399e+02
2 496     -1.623030e+02 5.190889e+02
2 230     1.423457e+02 5.902871e+02
2 497     -2.215843e+02 5.962980e+02
2 168     2.161689e+02 6.013779e+02
2 498     -1.880136e+02 6.179646e+02
2 499     2.108282e+02 6.228973e+02
2 500     -1.180164e+02 6.216957e+02
2 228     -3.047296e+01 6.270874e+02
2 501     -3.991379e+02 -5.864924e+02
2 502     3.687799e+01 -5.783795e+02
2 280     -4.502216e+02 -5.562717e+02
2 503     -1.028870e+02 -5.391761e+02
2 294     -5.060285e+02 -5.309224e+02
2 504     -1.308249e+02 -6.515891e+02
2 505     4.083890e+02 -6.878475e+02
2 506     -5.759564e+01 -6.544115e+02
2 507     6.677899e+01 -6.210552e+02
2 508     -1.294870e+02 -6.074379e+02
2 509     -7.510114e+01 -6.011436e+02
2 510     3.690997e+02 -4.085383e+02
2 511     -4.462078e+02 -4.021760e+02
2 512     -5.594037e+01 -3.978785e+02
2 513     -4.620874e+02 -3.987214e+02
2 514     -4.555895e+02 -3.120249e+02
2 515     9.894476e+01 -5.231858e+02
2 516     -1.014204e+02 -5.163898e+02
2 517     -3.784818e+02 -2.030794e+02
2 518     -4.352167e+02 -4.675540e+02
2 519     -8.184412e+01 -4.544183e+02
2 290     -4.665782e+02 -4.458856e+02
2 520     -4.346829e+02 -4.439703e+02
2 336     -4.045862e+01 3.336262e+02
2 309     7.416583e+01 3.279480e+02
2 521     1.641436e+02 3.270361e+02
2 522     -7.089062e+01 3.086359e+02
2 264     5.040924e+01 3.025245e+02
2 523     3.889508e+01 2.945410e+02
2 337     -4.297546e+01 9.399457e+01
2 338     1.507019e+01 9.106348e+01
2 524     3.433893e+01 9.206549e+01
2 525     1.493964e+01 6.873022e+01
2 526     -4.090439e+02 6.441302e+01
2 266     7.653503e+00 5.227112e+01
2 527     7.083368e+01 3.370598e+02
2 528     4.159635e+02 5.556885e+00
2 267     -9.996179e+01 -5.146667e+00
2 268     -4.654529e+01 -6.870728e+00
2 269     -4.998114e+01 -3.622369e+01
2 272     -1.149652e+02 -8.287506e+01
2 529     3.032770e+01 -8.750024e+01
2 530     1.868641e+02 5.785569e+02
2 531     -1.496984e+02 5.760737e+02
2 325     1.864313e+02 5.649150e+02
2 324     2.037826e+02 5.287469e+02
2 323     1.602234e+01 4.961287e+02
2 238     2.169749e+02 4.891612e+02
2 221     -1.821739e+02 4.822142e+02
2 532     -1.224463e+02 4.239523e+02
2 318     1.896341e+02 4.116010e+02
2 533     1.589902e+02 4.005777e+02
2 534     -1.431025e+02 3.899325e+02
2 223     1.416664e+02 3.645135e+02
2 320     2.300094e+02 3.613362e+02
2 535     -8.635718e+01 3.594486e+02
2 306     1.179705e+02 3.545384e+02
2 316     -6.088806e+01 3.505628e+02
2 536     1.262653e+02 3.436720e+02
2 263     -3.775916e+01 3.413879e+02
2 537     -3.660611e+02 -3.295566e+02
